Date,Annual Hash Growth
2009-01-10,0
2009-01-11,-84.7634
2009-01-12,-78.0339
2009-01-13,-74.5739
2009-01-14,-70.2886
2009-01-15,-67.0508
2009-01-16,-64.9013
2009-01-17,-60.0583
2009-01-18,-57.4463
2009-01-19,-56.6845
2009-01-20,-55.5417
2009-01-21,-56.0315
2009-01-22,-57.5007
2009-01-23,-59.4053
2009-01-24,-60.7113
2009-01-25,-55.705
2009-01-26,-51.134
2009-01-27,-52.1679
2009-01-28,-53.093
2009-01-29,-52.5488
2009-01-30,-50.9163
2009-01-31,-49.1206
2009-02-01,-52.5488
2009-02-02,-56.7933
2009-02-03,-55.052
2009-02-04,-52.7665
2009-02-05,-52.3855
2009-02-06,-52.1135
2009-02-07,-51.8414
2009-02-08,-52.3311
2009-02-09,-51.2972
2009-02-10,-50.9707
2009-02-11,-52.0046
2009-02-12,-51.2428
2009-02-13,-51.6237
2009-02-14,-51.5149
2009-02-15,-51.134
2009-02-16,-51.3516
2009-02-17,-52.0046
2009-02-18,-52.1679
2009-02-19,-52.9841
2009-02-20,-52.712
2009-02-21,-52.8209
2009-02-22,-54.018
2009-02-23,-54.399
2009-02-24,-55.1608
2009-02-25,-55.7594
2009-02-26,-56.4668
2009-02-27,-57.3919
2009-02-28,-57.7728
2009-03-01,-58.589
2009-03-02,-59.4597
2009-03-03,-59.4597
2009-03-04,-59.5141
2009-03-05,-59.5685
2009-03-06,-59.2964
2009-03-07,-59.1876
2009-03-08,-58.6434
2009-03-09,-58.0993
2009-03-10,-58.0993
2009-03-11,-57.9904
2009-03-12,-57.4463
2009-03-13,-57.1198
2009-03-14,-57.3374
2009-03-15,-57.283
2009-03-16,-56.8477
2009-03-17,-56.1403
2009-03-18,-55.7594
2009-03-19,-55.7594
2009-03-20,-55.5417
2009-03-21,-55.2696
2009-03-22,-58.5346
2009-03-23,-58.7523
2009-03-24,-58.2625
2009-03-25,-58.7523
2009-03-26,-58.589
2009-03-27,-58.8611
2009-03-28,-59.5141
2009-03-29,-55.7594
2009-03-30,-55.9226
2009-03-31,-56.4668
2009-04-01,-56.1947
2009-04-02,-56.358
2009-04-03,-56.4668
2009-04-04,-55.9226
2009-04-05,-56.2491
2009-04-06,-55.4873
2009-04-07,-56.0859
2009-04-08,-56.63
2009-04-09,-57.1198
2009-04-10,-57.9904
2009-04-11,-58.4258
2009-04-12,-58.0449
2009-04-13,-58.6979
2009-04-14,-58.3714
2009-04-15,-57.0654
2009-04-16,-56.63
2009-04-17,-55.324
2009-04-18,-55.1064
2009-04-19,-54.7799
2009-04-20,-54.7255
2009-04-21,-54.5078
2009-04-22,-54.5622
2009-04-23,-54.1269
2009-04-24,-56.7389
2009-04-25,-56.5756
2009-04-26,-57.0109
2009-04-27,-57.3919
2009-04-28,-58.2081
2009-04-29,-58.5346
2009-04-30,-58.1537
2009-05-01,-55.1064
2009-05-02,-54.7799
2009-05-03,-54.3445
2009-05-04,-54.671
2009-05-05,-53.365
2009-05-06,-52.3855
2009-05-07,-52.0046
2009-05-08,-52.4944
2009-05-09,-53.2562
2009-05-10,-55.8682
2009-05-11,-57.0109
2009-05-12,-57.4463
2009-05-13,-57.7184
2009-05-14,-59.0244
2009-05-15,-58.0993
2009-05-16,-56.5212
2009-05-17,-54.2901
2009-05-18,-52.0046
2009-05-19,-52.1135
2009-05-20,-54.5078
2009-05-21,-54.018
2009-05-22,-57.1198
2009-05-23,-61.201
2009-05-24,-65.9353
2009-05-25,-67.4045
2009-05-26,-67.8943
2009-05-27,-65.772
2009-05-28,-65.8264
2009-05-29,-65.119
2009-05-30,-62.6703
2009-05-31,-58.4802
2009-06-01,-58.6979
2009-06-02,-60.7657
2009-06-03,-61.5275
2009-06-04,-64.1395
2009-06-05,-65.7176
2009-06-06,-69.8532
2009-06-07,-74.261
2009-06-08,-78.6143
2009-06-09,-78.0157
2009-06-10,-79.1041
2009-06-11,-78.5055
2009-06-12,-77.2539
2009-06-13,-74.2066
2009-06-14,-71.4857
2009-06-15,-68.4384
2009-06-16,-68.3296
2009-06-17,-69.4179
2009-06-18,-69.5812
2009-06-19,-70.0709
2009-06-20,-70.0165
2009-06-21,-70.0165
2009-06-22,-69.5267
2009-06-23,-69.9621
2009-06-24,-69.69
2009-06-25,-68.8193
2009-06-26,-69.4723
2009-06-27,-69.3091
2009-06-28,-68.9826
2009-06-29,-70.8872
2009-06-30,-70.5062
2009-07-01,-70.0165
2009-07-02,-71.1592
2009-07-03,-70.343
2009-07-04,-70.7783
2009-07-05,-70.5062
2009-07-06,-68.7105
2009-07-07,-68.6561
2009-07-08,-69.5267
2009-07-09,-69.5267
2009-07-10,-69.3635
2009-07-11,-69.4179
2009-07-12,-69.7444
2009-07-13,-69.8532
2009-07-14,-70.1797
2009-07-15,-70.1797
2009-07-16,-71.7578
2009-07-17,-72.5741
2009-07-18,-74.4242
2009-07-19,-78.7231
2009-07-20,-79.1041
2009-07-21,-79.5394
2009-07-22,-78.832
2009-07-23,-78.0157
2009-07-24,-77.7436
2009-07-25,-76.3288
2009-07-26,-74.8052
2009-07-27,-77.4716
2009-07-28,-77.2539
2009-07-29,-79.485
2009-07-30,-81.716
2009-07-31,-85.0355
2009-08-01,-88.0828
2009-08-02,-88.3004
2009-08-03,-88.1916
2009-08-04,-91.5654
2009-08-05,-89.3888
2009-08-06,-85.6885
2009-08-07,-81.6072
2009-08-08,-78.179
2009-08-09,-75.3493
2009-08-10,-71.1048
2009-08-11,-67.6766
2009-08-12,-68.2752
2009-08-13,-69.5812
2009-08-14,-69.8532
2009-08-15,-70.7783
2009-08-16,-73.7168
2009-08-17,-78.179
2009-08-18,-81.3351
2009-08-19,-84.6001
2009-08-20,-87.0489
2009-08-21,-90.4771
2009-08-22,-93.1435
2009-08-23,-94.1774
