Date,Block Height
2009-01-10,19
2009-01-11,80
2009-01-12,173
2009-01-13,267
2009-01-14,390
2009-01-15,519
2009-01-16,645
2009-01-17,753
2009-01-18,862
2009-01-19,969
2009-01-20,1084
2009-01-21,1198
2009-01-22,1300
2009-01-23,1391
2009-01-24,1475
2009-01-25,1676
2009-01-26,1867
2009-01-27,1963
2009-01-28,2060
2009-01-29,2172
2009-01-30,2293
2009-01-31,2410
2009-02-01,2548
2009-02-02,2661
2009-02-03,2789
2009-02-04,2928
2009-02-05,3047
2009-02-06,3173
2009-02-07,3295
2009-02-08,3424
2009-02-09,3556
2009-02-10,3690
2009-02-11,3810
2009-02-12,3943
2009-02-13,4062
2009-02-14,4186
2009-02-15,4322
2009-02-16,4450
2009-02-17,4572
2009-02-18,4689
2009-02-19,4807
2009-02-20,4931
2009-02-21,5053
2009-02-22,5167
2009-02-23,5288
2009-02-24,5396
2009-02-25,5502
2009-02-26,5607
2009-02-27,5714
2009-02-28,5829
2009-03-01,5928
2009-03-02,6033
2009-03-03,6141
2009-03-04,6246
2009-03-05,6350
2009-03-06,6462
2009-03-07,6579
2009-03-08,6688
2009-03-09,6803
2009-03-10,6911
2009-03-11,7018
2009-03-12,7132
2009-03-13,7250
2009-03-14,7363
2009-03-15,7473
2009-03-16,7596
2009-03-17,7717
2009-03-18,7831
2009-03-19,7945
2009-03-20,8067
2009-03-21,8185
2009-03-22,8235
2009-03-23,8354
2009-03-24,8484
2009-03-25,8589
2009-03-26,8706
2009-03-27,8823
2009-03-28,8929
2009-03-29,9048
2009-03-30,9164
2009-03-31,9284
2009-04-01,9394
2009-04-02,9508
2009-04-03,9623
2009-04-04,9739
2009-04-05,9852
2009-04-06,9982
2009-04-07,10091
2009-04-08,10191
2009-04-09,10296
2009-04-10,10395
2009-04-11,10503
2009-04-12,10623
2009-04-13,10741
2009-04-14,10856
2009-04-15,10980
2009-04-16,11093
2009-04-17,11216
2009-04-18,11328
2009-04-19,11454
2009-04-20,11573
2009-04-21,11692
2009-04-22,11815
2009-04-23,11936
2009-04-24,12011
2009-04-25,12126
2009-04-26,12244
2009-04-27,12356
2009-04-28,12460
2009-04-29,12577
2009-04-30,12705
2009-05-01,12836
2009-05-02,12957
2009-05-03,13083
2009-05-04,13189
