Date,Blockchain Size
2009-01-10,4085
2009-01-11,17214
2009-01-12,37522
2009-01-13,59280
2009-01-14,85810
2009-01-15,114086
2009-01-16,144146
2009-01-17,168000
2009-01-18,191529
2009-01-19,215063
2009-01-20,241845
2009-01-21,267465
2009-01-22,290983
2009-01-23,311044
2009-01-24,329874
2009-01-25,374507
2009-01-26,415954
2009-01-27,438990
2009-01-28,460360
2009-01-29,484512
2009-01-30,512010
2009-01-31,537264
2009-02-01,569348
2009-02-02,594004
2009-02-03,621793
2009-02-04,656329
2009-02-05,682003
2009-02-06,709188
2009-02-07,735518
2009-02-08,766520
2009-02-09,795240
2009-02-10,829222
2009-02-11,855102
2009-02-12,885577
2009-02-13,911265
2009-02-14,938034
2009-02-15,967381
2009-02-16,996745
2009-02-17,1026532
2009-02-18,1051795
2009-02-19,1077276
2009-02-20,1105926
2009-02-21,1132260
2009-02-22,1156879
2009-02-23,1184534
2009-02-24,1207861
2009-02-25,1230749
2009-02-26,1253416
2009-02-27,1276523
2009-02-28,1305481
2009-03-01,1327708
2009-03-02,1350384
2009-03-03,1373708
2009-03-04,1397378
2009-03-05,1422828
2009-03-06,1447960
2009-03-07,1473225
2009-03-08,1496766
2009-03-09,1524779
2009-03-10,1548076
2009-03-11,1571185
2009-03-12,1595795
2009-03-13,1621701
2009-03-14,1647622
2009-03-15,1671358
2009-03-16,1697923
2009-03-17,1729566
2009-03-18,1754185
2009-03-19,1780486
2009-03-20,1806812
2009-03-21,1833700
2009-03-22,1844492
2009-03-23,1871522
2009-03-24,1899592
2009-03-25,1922270
2009-03-26,1947517
2009-03-27,1976019
2009-03-28,1998910
2009-03-29,2027022
2009-03-30,2052074
2009-03-31,2077976
2009-04-01,2105423
2009-04-02,2130029
2009-04-03,2154858
2009-04-04,2179906
2009-04-05,2204287
2009-04-06,2234389
2009-04-07,2257931
2009-04-08,2279530
2009-04-09,2302210
2009-04-10,2323568
2009-04-11,2346889
2009-04-12,2373690
2009-04-13,2400206
2009-04-14,2425272
2009-04-15,2452049
2009-04-16,2476429
2009-04-17,2502983
2009-04-18,2527160
2009-04-19,2555137
2009-04-20,2581793
2009-04-21,2620710
2009-04-22,2647492
2009-04-23,2673624
2009-04-24,2689798
2009-04-25,2714628
2009-04-26,2740101
2009-04-27,2766091
2009-04-28,2788542
2009-04-29,2813773
2009-04-30,2843737
2009-05-01,2872025
2009-05-02,2898148
2009-05-03,2927301
2009-05-04,2951011
2009-05-05,2982109
2009-05-06,3012441
2009-05-07,3041598
2009-05-08,3067950
2009-05-09,3091051
2009-05-10,3107860
2009-05-11,3126203
2009-05-12,3152466
2009-05-13,3180536
2009-05-14,3205596
2009-05-15,3236324
2009-05-16,3266873
2009-05-17,3292572
2009-05-18,3319999
2009-05-19,3345477
2009-05-20,3364044
2009-05-21,3389931
2009-05-22,3407641
2009-05-23,3420815
2009-05-24,3427724
2009-05-25,3449315
2009-05-26,3472854
2009-05-27,3499841
2009-05-28,3525514
2009-05-29,3546022
2009-05-30,3575788
2009-05-31,3599305
2009-06-01,3620041
2009-06-02,3635649
2009-06-03,3659615
2009-06-04,3674951
2009-06-05,3689202
2009-06-06,3695675
2009-06-07,3701708
2009-06-08,3705162
2009-06-09,3722855
2009-06-10,3742494
2009-06-11,3760200
2009-06-12,3779420
2009-06-13,3797982
2009-06-14,3814789
2009-06-15,3830320
2009-06-16,3848458
2009-06-17,3863772
2009-06-18,3880810
2009-06-19,3898076
2009-06-20,3916839
2009-06-21,3933668
2009-06-22,3951149
2009-06-23,3974434
2009-06-24,3990813
2009-06-25,4011866
2009-06-26,4028849
2009-06-27,4048251
2009-06-28,4066384
2009-06-29,4076536
2009-06-30,4095144
2009-07-01,4113481
2009-07-02,4129717
2009-07-03,4147864
2009-07-04,4165574
2009-07-05,4184787
2009-07-06,4201850
2009-07-07,4219992
2009-07-08,4234891
2009-07-09,4250875
2009-07-10,4269426
2009-07-11,4286912
2009-07-12,4304839
2009-07-13,4321455
2009-07-14,4338296
2009-07-15,4353196
2009-07-16,4362916
2009-07-17,4378242
2009-07-18,4388380
2009-07-19,4389243
2009-07-20,4404351
2009-07-21,4433379
2009-07-22,4451079
2009-07-23,4463999
2009-07-24,4480394
2009-07-25,4496157
2009-07-26,4503064
2009-07-27,4507591
2009-07-28,4523568
2009-07-29,4532410
2009-07-30,4536782
2009-07-31,4540249
2009-08-01,4543916
2009-08-02,4549959
2009-08-03,4554918
2009-08-04,4557506
2009-08-05,4574973
2009-08-06,4593741
2009-08-07,4613176
2009-08-08,4643218
2009-08-09,4660488
2009-08-10,4682304
2009-08-11,4698503
2009-08-12,4713617
2009-08-13,4727194
2009-08-14,4745533
2009-08-15,4759130
2009-08-16,4764730
2009-08-17,4768826
2009-08-18,4772496
2009-08-19,4774653
2009-08-20,4778530
2009-08-21,4783262
2009-08-22,4786272
2009-08-23,4787779
2009-08-24,4791010
2009-08-25,4794235
2009-08-26,4805023
2009-08-27,4821141
2009-08-28,4827385
2009-08-29,4843568
2009-08-30,4860617
2009-08-31,4881485
2009-09-01,4900781
2009-09-02,4917613
2009-09-03,4931859
2009-09-04,4946675
2009-09-05,4960479
2009-09-06,4976881
2009-09-07,4991561
2009-09-08,5009925
2009-09-09,5024813
2009-09-10,5036466
2009-09-11,5050923
2009-09-12,5065384
2009-09-13,5080281
2009-09-14,5096469
2009-09-15,5112441
2009-09-16,5121938
2009-09-17,5137699
2009-09-18,5167453
2009-09-19,5184286
2009-09-20,5200268
2009-09-21,5217115
2009-09-22,5232968
2009-09-23,5242960
2009-09-24,5250728
2009-09-25,5271633
2009-09-26,5294321
2009-09-27,5317734
2009-09-28,5336520
2009-09-29,5354874
2009-09-30,5378859
2009-10-01,5397204
2009-10-02,5414906
2009-10-03,5431622
2009-10-04,5444119
2009-10-05,5455551
2009-10-06,5467419
2009-10-07,5478561
2009-10-08,5491500
2009-10-09,5506583
2009-10-10,5523623
2009-10-11,5540241
2009-10-12,5556207
2009-10-13,5577339
2009-10-14,5589641
2009-10-15,5604517
2009-10-16,5619810
2009-10-17,5642163
2009-10-18,5654462
2009-10-19,5671263
2009-10-20,5695391
2009-10-21,5727502
2009-10-22,5746834
2009-10-23,5770966
2009-10-24,5790137
2009-10-25,5804411
2009-10-26,5820796
2009-10-27,5836118
2009-10-28,5851846
2009-10-29,5866083
2009-10-30,5880774
2009-10-31,5893702
2009-11-01,5903606
2009-11-02,5908985
2009-11-03,5916096
2009-11-04,5929457
2009-11-05,5947987
2009-11-06,5960270
2009-11-07,5973634
2009-11-08,5988516
2009-11-09,6004249
2009-11-10,6018053
2009-11-11,6039805
2009-11-12,6056064
2009-11-13,6070932
2009-11-14,6089359
2009-11-15,6106397
2009-11-16,6127097
2009-11-17,6148018
2009-11-18,6167859
2009-11-19,6184874
2009-11-20,6211139
2009-11-21,6229685
2009-11-22,6245429
2009-11-23,6268298
2009-11-24,6289019
2009-11-25,6309067
2009-11-26,6328474
2009-11-27,6346577
2009-11-28,6362523
2009-11-29,6377828
2009-11-30,6390767
2009-12-01,6406952
2009-12-02,6442267
2009-12-03,6462538
2009-12-04,6481526
2009-12-05,6489279
2009-12-06,6505218
2009-12-07,6527917
2009-12-08,6554392
2009-12-09,6578236
2009-12-10,6603505
2009-12-11,6625929
2009-12-12,6657851
2009-12-13,6681559
2009-12-14,6706156
2009-12-15,6766484
2009-12-16,6793432
2009-12-17,6822758
2009-12-18,6860773
2009-12-19,6909273
2009-12-20,6952185
2009-12-21,6990127
2009-12-22,7027871
2009-12-23,7062815
2009-12-24,7096029
2009-12-25,7129245
2009-12-26,7161624
2009-12-27,7199157
2009-12-28,7235866
2009-12-29,7265423
2009-12-30,7302301
2009-12-31,7332713
2010-01-01,7362477
2010-01-02,7391248
2010-01-03,7418415
2010-01-04,7458549
2010-01-05,7507246
2010-01-06,7549940
2010-01-07,7585106
2010-01-08,7618315
2010-01-09,7651327
2010-01-10,7683917
2010-01-11,7724917
2010-01-12,7759213
2010-01-13,7818364
2010-01-14,7854197
2010-01-15,7886313
2010-01-16,7917318
2010-01-17,7945102
2010-01-18,7973342
2010-01-19,8000508
2010-01-20,8027217
2010-01-21,8061258
2010-01-22,8102422
2010-01-23,8131870
2010-01-24,8166824
2010-01-25,8200195
2010-01-26,8253213
2010-01-27,8298086
2010-01-28,8335816
2010-01-29,8376446
2010-01-30,8421318
2010-01-31,8470752
2010-02-01,8508544
2010-02-02,8551586
2010-02-03,8585250
2010-02-04,8644230
2010-02-05,8698707
2010-02-06,8775136
2010-02-07,8820675
2010-02-08,8869043
2010-02-09,8927205
2010-02-10,9019700
2010-02-11,9125303
2010-02-12,9170387
2010-02-13,9217232
2010-02-14,9277258
2010-02-15,9329844
2010-02-16,9378913
2010-02-17,9423277
2010-02-18,9479212
2010-02-19,9531084
