Date,Two-Week Hash Growth
2009-01-10,0
2009-01-11,-84.7634
2009-01-12,-78.0339
2009-01-13,-74.5739
2009-01-14,-70.2886
2009-01-15,-67.0508
2009-01-16,-64.9013
2009-01-17,-60.0583
2009-01-18,-57.4463
2009-01-19,-56.6845
2009-01-20,-55.5417
2009-01-21,-56.0315
2009-01-22,-57.5007
2009-01-23,-59.4053
2009-01-24,-60.7113
2009-01-25,190.714
2009-01-26,122.461
2009-01-27,88.122
2009-01-28,57.8755
2009-01-29,44.0132
2009-01-30,39.845
2009-01-31,27.3842
2009-02-01,11.509
2009-02-02,-0.251256
2009-02-03,1.10159
2009-02-04,7.42574
2009-02-05,12.0359
2009-02-06,17.9625
2009-02-07,22.5762
2009-02-08,7.61671
2009-02-09,-0.334076
2009-02-10,2.50284
2009-02-11,2.32019
2009-02-12,2.75229
2009-02-13,-1.44124
2009-02-14,-4.70588
2009-02-15,2.98165
2009-02-16,12.5945
2009-02-17,6.77966
2009-02-18,1.26728
2009-02-19,-1.25714
2009-02-20,-1.25
2009-02-21,-2.0339
2009-02-22,-3.53881
2009-02-23,-6.36872
2009-02-24,-8.54606
2009-02-25,-7.82313
2009-02-26,-10.7143
2009-02-27,-11.9235
2009-02-28,-12.9068
2009-03-01,-15.2561
2009-03-02,-16.6667
2009-03-03,-15.5329
2009-03-04,-15.3584
2009-03-05,-14.0046
2009-03-06,-13.9241
2009-03-07,-13.4948
2009-03-08,-10.0592
2009-03-09,-8.11456
2009-03-10,-6.5534
2009-03-11,-5.04305
2009-03-12,-2.25
2009-03-13,0.63857
2009-03-14,1.03093
2009-03-15,3.15375
2009-03-16,6.44295
2009-03-17,8.18792
2009-03-18,9.27419
2009-03-19,9.42127
2009-03-20,9.2246
2009-03-21,9.6
2009-03-22,0.263158
2009-03-23,-1.55844
2009-03-24,-0.38961
2009-03-25,-1.81347
2009-03-26,-2.68542
2009-03-27,-4.06091
2009-03-28,-5.10204
2009-03-29,3.56688
2009-03-30,2.14376
2009-03-31,-0.744417
2009-04-01,-0.98401
2009-04-02,-1.35301
2009-04-03,-2.08078
2009-04-04,-1.45985
2009-04-05,5.51181
2009-04-06,7.91557
2009-04-07,5.21512
2009-04-08,5.14512
2009-04-09,3.54796
2009-04-10,2.1164
2009-04-11,2.68817
2009-04-12,-5.16605
2009-04-13,-6.2963
2009-04-14,-4.375
2009-04-15,-1.98758
2009-04-16,-0.623441
2009-04-17,2.625
2009-04-18,1.85185
2009-04-19,3.35821
2009-04-20,1.71149
2009-04-21,3.59356
2009-04-22,4.76788
2009-04-23,6.9797
2009-04-24,2.97927
2009-04-25,4.45026
2009-04-26,2.46433
2009-04-27,3.16206
2009-04-28,0.392157
2009-04-29,-3.42205
2009-04-30,-3.51317
2009-05-01,0.487211
2009-05-02,0.727273
2009-05-03,0.962696
2009-05-04,0.120192
2009-05-05,2.51196
2009-05-06,4.79042
2009-05-07,4.62633
2009-05-08,9.81132
2009-05-09,7.64411
2009-05-10,2.65823
2009-05-11,0.893997
2009-05-12,1.82292
2009-05-13,1.9685
2009-05-14,-2.08062
2009-05-15,-6.66667
2009-05-16,-3.85078
2009-05-17,0.11919
2009-05-18,5.88235
2009-05-19,2.68378
2009-05-20,-4.45714
2009-05-21,-4.19501
2009-05-22,-9.73654
2009-05-23,-16.9965
2009-05-24,-22.8113
2009-05-25,-24.1772
2009-05-26,-24.5524
2009-05-27,-19.0476
2009-05-28,-16.6003
2009-05-29,-16.7532
2009-05-30,-14.1427
2009-05-31,-9.16667
2009-06-01,-13.9456
2009-06-02,-18.0682
2009-06-03,-15.4306
2009-06-04,-22.0118
2009-06-05,-20.0508
2009-06-06,-22.3001
2009-06-07,-24.4409
2009-06-08,-34.3907
2009-06-09,-31.5254
2009-06-10,-38.9507
2009-06-11,-37.1019
2009-06-12,-34.7894
2009-06-13,-30.9038
2009-06-14,-31.3237
2009-06-15,-23.5837
2009-06-16,-19.2788
2009-06-17,-20.5092
2009-06-18,-15.1745
2009-06-19,-12.6984
2009-06-20,-0.541516
2009-06-21,16.4905
2009-06-22,42.4936
2009-06-23,36.6337
2009-06-24,45.0521
2009-06-25,45.0633
2009-06-26,34.2105
2009-06-27,18.9873
2009-06-28,8.77863
2009-06-29,-7.75862
2009-06-30,-6.87285
2009-07-01,-1.9573
2009-07-02,-5.18784
2009-07-03,-0.909091
2009-07-04,-2.54083
2009-07-05,-1.63339
2009-07-06,2.67857
2009-07-07,4.34783
2009-07-08,0.5386
2009-07-09,-2.26876
2009-07-10,0.356506
2009-07-11,-0.35461
2009-07-12,-2.45614
2009-07-13,3.5514
2009-07-14,1.10701
2009-07-15,-0.544465
2009-07-16,-2.07547
2009-07-17,-7.52294
2009-07-18,-12.4767
2009-07-19,-27.8598
2009-07-20,-33.2174
2009-07-21,-34.7222
2009-07-22,-30.5357
2009-07-23,-27.8571
2009-07-24,-27.3535
2009-07-25,-22.5979
2009-07-26,-16.7266
2009-07-27,-25.2708
2009-07-28,-23.7226
2009-07-29,-31.2044
2009-07-30,-35.2601
2009-07-31,-45.4365
2009-08-01,-53.4043
2009-08-02,-45.0128
2009-08-03,-43.4896
2009-08-04,-58.7766
2009-08-05,-49.8715
2009-08-06,-34.901
2009-08-07,-17.3594
2009-08-08,-7.81609
2009-08-09,-2.15983
2009-08-10,28.2609
2009-08-11,42.1053
2009-08-12,54.6419
2009-08-13,66.369
2009-08-14,101.455
2009-08-15,145.205
2009-08-16,124.651
2009-08-17,84.7926
2009-08-18,121.29
2009-08-19,45.1282
2009-08-20,-9.5057
2009-08-21,-48.2249
2009-08-22,-68.5786
2009-08-23,-76.3797
2009-08-24,-80.6026
2009-08-25,-82.9966
2009-08-26,-75.8148
2009-08-27,-69.4097
2009-08-28,-67.87
2009-08-29,-55.4935
