Date,Money Supply
2009-01-10,950
2009-01-11,4000
2009-01-12,8650
2009-01-13,13350
2009-01-14,19500
2009-01-15,25950
2009-01-16,32250
2009-01-17,37650
2009-01-18,43100
2009-01-19,48450
2009-01-20,54200
2009-01-21,59900
2009-01-22,65000
2009-01-23,69550
2009-01-24,73750
2009-01-25,83800
2009-01-26,93350
2009-01-27,98150
2009-01-28,103000
2009-01-29,108600
2009-01-30,114650
2009-01-31,120500
2009-02-01,127400
2009-02-02,133050
2009-02-03,139450
2009-02-04,146400
2009-02-05,152350
2009-02-06,158650
2009-02-07,164750
2009-02-08,171200
2009-02-09,177800
2009-02-10,184500
2009-02-11,190500
2009-02-12,197150
2009-02-13,203100
2009-02-14,209300
2009-02-15,216100
2009-02-16,222500
2009-02-17,228600
2009-02-18,234450
2009-02-19,240350
2009-02-20,246550
2009-02-21,252650
2009-02-22,258350
2009-02-23,264400
2009-02-24,269800
2009-02-25,275100
2009-02-26,280350
2009-02-27,285700
2009-02-28,291450
2009-03-01,296400
2009-03-02,301650
2009-03-03,307050
2009-03-04,312300
2009-03-05,317500
2009-03-06,323100
2009-03-07,328950
2009-03-08,334400
2009-03-09,340150
2009-03-10,345550
2009-03-11,350900
2009-03-12,356600
2009-03-13,362500
2009-03-14,368150
2009-03-15,373650
2009-03-16,379800
2009-03-17,385850
2009-03-18,391550
2009-03-19,397250
2009-03-20,403350
2009-03-21,409250
2009-03-22,411750
2009-03-23,417700
2009-03-24,424200
2009-03-25,429450
2009-03-26,435300
2009-03-27,441150
2009-03-28,446450
2009-03-29,452400
2009-03-30,458200
2009-03-31,464200
2009-04-01,469700
2009-04-02,475400
2009-04-03,481150
2009-04-04,486950
2009-04-05,492600
2009-04-06,499100
2009-04-07,504550
2009-04-08,509550
2009-04-09,514800
2009-04-10,519750
2009-04-11,525150
2009-04-12,531150
2009-04-13,537050
2009-04-14,542800
2009-04-15,549000
2009-04-16,554650
2009-04-17,560800
2009-04-18,566400
2009-04-19,572700
2009-04-20,578650
2009-04-21,584600
2009-04-22,590750
2009-04-23,596800
2009-04-24,600550
2009-04-25,606300
2009-04-26,612200
2009-04-27,617800
2009-04-28,623000
2009-04-29,628850
2009-04-30,635250
2009-05-01,641800
2009-05-02,647850
2009-05-03,654150
2009-05-04,659450
2009-05-05,665850
2009-05-06,672600
2009-05-07,679350
2009-05-08,685450
2009-05-09,690800
2009-05-10,694700
2009-05-11,698950
2009-05-12,704950
2009-05-13,711450
2009-05-14,717000
2009-05-15,723950
2009-05-16,730750
2009-05-17,736700
2009-05-18,743050
2009-05-19,748950
2009-05-20,753250
2009-05-21,759250
2009-05-22,763350
2009-05-23,766400
2009-05-24,768000
2009-05-25,773000
2009-05-26,778450
2009-05-27,784700
2009-05-28,790650
2009-05-29,795400
2009-05-30,800700
2009-05-31,806150
2009-06-01,810950
2009-06-02,814500
2009-06-03,820050
2009-06-04,823600
2009-06-05,826900
2009-06-06,828400
2009-06-07,829800
2009-06-08,830600
2009-06-09,834700
2009-06-10,839250
2009-06-11,843350
2009-06-12,847800
2009-06-13,852100
2009-06-14,856000
2009-06-15,859600
2009-06-16,863800
2009-06-17,867350
2009-06-18,871300
2009-06-19,875300
2009-06-20,879650
2009-06-21,883550
2009-06-22,887600
2009-06-23,891400
2009-06-24,895200
2009-06-25,899950
2009-06-26,903350
2009-06-27,907850
2009-06-28,912050
2009-06-29,914350
2009-06-30,918500
2009-07-01,922750
2009-07-02,926450
2009-07-03,930600
2009-07-04,934700
2009-07-05,939150
2009-07-06,943100
2009-07-07,947300
2009-07-08,950750
2009-07-09,954450
2009-07-10,958750
2009-07-11,962800
2009-07-12,966950
2009-07-13,970800
2009-07-14,974700
2009-07-15,978150
2009-07-16,980400
2009-07-17,983950
2009-07-18,986300
2009-07-19,986500
2009-07-20,990000
2009-07-21,993500
2009-07-22,997600
2009-07-23,1000600
2009-07-24,1004400
2009-07-25,1008050
2009-07-26,1009650
2009-07-27,1010700
2009-07-28,1014400
2009-07-29,1016450
2009-07-30,1017400
2009-07-31,1018150
2009-08-01,1019000
2009-08-02,1020400
2009-08-03,1021550
2009-08-04,1022150
2009-08-05,1026200
2009-08-06,1030550
2009-08-07,1035050
2009-08-08,1039050
2009-08-09,1043050
2009-08-10,1048100
2009-08-11,1051850
2009-08-12,1055350
2009-08-13,1058500
2009-08-14,1062750
2009-08-15,1065900
2009-08-16,1067200
2009-08-17,1068150
2009-08-18,1069000
2009-08-19,1069500
2009-08-20,1070400
2009-08-21,1071500
2009-08-22,1072200
2009-08-23,1072550
2009-08-24,1073300
2009-08-25,1074050
2009-08-26,1076550
2009-08-27,1078950
2009-08-28,1080400
2009-08-29,1084150
2009-08-30,1088100
2009-08-31,1092900
2009-09-01,1097200
2009-09-02,1101100
2009-09-03,1104400
2009-09-04,1107450
2009-09-05,1110650
2009-09-06,1114450
2009-09-07,1117850
2009-09-08,1121750
2009-09-09,1125200
2009-09-10,1127900
2009-09-11,1131250
2009-09-12,1134600
2009-09-13,1138050
2009-09-14,1141800
2009-09-15,1145500
2009-09-16,1147700
2009-09-17,1151300
2009-09-18,1155500
2009-09-19,1159400
2009-09-20,1163100
2009-09-21,1167000
2009-09-22,1170450
2009-09-23,1171700
2009-09-24,1173500
2009-09-25,1178350
2009-09-26,1182900
2009-09-27,1187900
2009-09-28,1192250
2009-09-29,1196500
2009-09-30,1200900
2009-10-01,1205150
2009-10-02,1209250
2009-10-03,1212850
2009-10-04,1215750
2009-10-05,1218400
2009-10-06,1221150
2009-10-07,1223300
2009-10-08,1226300
2009-10-09,1229800
2009-10-10,1233750
2009-10-11,1237600
2009-10-12,1241300
2009-10-13,1244200
2009-10-14,1247050
2009-10-15,1250500
2009-10-16,1254050
2009-10-17,1257050
2009-10-18,1259900
2009-10-19,1263600
2009-10-20,1269200
2009-10-21,1273950
2009-10-22,1277950
2009-10-23,1282450
2009-10-24,1286900
2009-10-25,1290000
2009-10-26,1293800
2009-10-27,1297350
2009-10-28,1300550
2009-10-29,1303850
2009-10-30,1306150
2009-10-31,1309150
2009-11-01,1311450
2009-11-02,1312700
2009-11-03,1314350
2009-11-04,1317450
2009-11-05,1320600
2009-11-06,1323450
2009-11-07,1326550
2009-11-08,1330000
2009-11-09,1333650
2009-11-10,1336850
2009-11-11,1340750
2009-11-12,1343950
2009-11-13,1347250
2009-11-14,1351250
2009-11-15,1355200
2009-11-16,1360000
2009-11-17,1364850
2009-11-18,1369450
2009-11-19,1373400
2009-11-20,1376900
2009-11-21,1381200
2009-11-22,1384850
2009-11-23,1390150
2009-11-24,1394950
2009-11-25,1399600
2009-11-26,1404100
2009-11-27,1408300
2009-11-28,1412000
2009-11-29,1415550
2009-11-30,1418550
2009-12-01,1422300
2009-12-02,1425950
2009-12-03,1430650
2009-12-04,1435050
2009-12-05,1436850
2009-12-06,1440050
2009-12-07,1445200
2009-12-08,1450800
2009-12-09,1456050
2009-12-10,1460850
2009-12-11,1466050
2009-12-12,1471650
2009-12-13,1477150
2009-12-14,1482850
2009-12-15,1487950
2009-12-16,1493450
2009-12-17,1500250
2009-12-18,1508700
2009-12-19,1519950
2009-12-20,1529850
2009-12-21,1538600
2009-12-22,1547350
2009-12-23,1555450
2009-12-24,1563150
2009-12-25,1570850
2009-12-26,1578300
2009-12-27,1587000
2009-12-28,1595350
2009-12-29,1602200
2009-12-30,1610750
2009-12-31,1617800
2010-01-01,1624700
2010-01-02,1631300
2010-01-03,1637600
2010-01-04,1646900
2010-01-05,1655950
2010-01-06,1665850
2010-01-07,1674000
2010-01-08,1681700
2010-01-09,1689350
2010-01-10,1696900
2010-01-11,1706400
2010-01-12,1714350
2010-01-13,1722300
2010-01-14,1730500
2010-01-15,1737650
2010-01-16,1744700
2010-01-17,1750950
2010-01-18,1757500
2010-01-19,1763750
2010-01-20,1769950
2010-01-21,1777850
2010-01-22,1786600
2010-01-23,1793250
2010-01-24,1801250
2010-01-25,1808950
2010-01-26,1819500
