Date,Quarterly Hash Growth
2009-01-10,0
2009-01-11,-84.7634
2009-01-12,-78.0339
2009-01-13,-74.5739
2009-01-14,-70.2886
2009-01-15,-67.0508
2009-01-16,-64.9013
2009-01-17,-60.0583
2009-01-18,-57.4463
2009-01-19,-56.6845
2009-01-20,-55.5417
2009-01-21,-56.0315
2009-01-22,-57.5007
2009-01-23,-59.4053
2009-01-24,-60.7113
2009-01-25,-55.705
2009-01-26,-51.134
2009-01-27,-52.1679
2009-01-28,-53.093
2009-01-29,-52.5488
2009-01-30,-50.9163
2009-01-31,-49.1206
2009-02-01,-52.5488
2009-02-02,-56.7933
2009-02-03,-55.052
2009-02-04,-52.7665
2009-02-05,-52.3855
2009-02-06,-52.1135
2009-02-07,-51.8414
2009-02-08,-52.3311
2009-02-09,-51.2972
2009-02-10,-50.9707
2009-02-11,-52.0046
2009-02-12,-51.2428
2009-02-13,-51.6237
2009-02-14,-51.5149
2009-02-15,-51.134
2009-02-16,-51.3516
2009-02-17,-52.0046
2009-02-18,-52.1679
2009-02-19,-52.9841
2009-02-20,-52.712
2009-02-21,-52.8209
2009-02-22,-54.018
2009-02-23,-54.399
2009-02-24,-55.1608
2009-02-25,-55.7594
2009-02-26,-56.4668
2009-02-27,-57.3919
2009-02-28,-57.7728
2009-03-01,-58.589
2009-03-02,-59.4597
2009-03-03,-59.4597
2009-03-04,-59.5141
2009-03-05,-59.5685
2009-03-06,-59.2964
2009-03-07,-59.1876
2009-03-08,-58.6434
2009-03-09,-58.0993
2009-03-10,-58.0993
2009-03-11,-57.9904
2009-03-12,-57.4463
2009-03-13,-57.1198
2009-03-14,-57.3374
2009-03-15,-57.283
2009-03-16,-56.8477
2009-03-17,-56.1403
2009-03-18,-55.7594
2009-03-19,-55.7594
2009-03-20,-55.5417
2009-03-21,-55.2696
2009-03-22,-58.5346
2009-03-23,-58.7523
2009-03-24,-58.2625
2009-03-25,-58.7523
2009-03-26,-58.589
2009-03-27,-58.8611
2009-03-28,-59.5141
2009-03-29,-55.7594
2009-03-30,-55.9226
2009-03-31,-56.4668
2009-04-01,-56.1947
2009-04-02,-56.358
2009-04-03,-56.4668
2009-04-04,-55.9226
2009-04-05,-56.2491
2009-04-06,-55.4873
2009-04-07,-56.0859
2009-04-08,-56.63
2009-04-09,-57.1198
2009-04-10,-57.9904
2009-04-11,172.857
2009-04-12,90.9992
2009-04-13,62.4398
2009-04-14,40.1099
2009-04-15,30.3055
2009-04-16,23.5659
2009-04-17,11.8529
2009-04-18,5.49872
2009-04-19,4.39699
2009-04-20,1.83599
2009-04-21,3.46535
2009-04-22,6.91421
2009-04-23,13.0027
2009-04-24,10.1108
2009-04-25,-1.9656
2009-04-26,-12.0267
2009-04-27,-10.9215
2009-04-28,-10.9049
2009-04-29,-12.6147
2009-04-30,-14.745
2009-05-01,-11.7647
2009-05-02,-4.70183
2009-05-03,5.66751
2009-05-04,0.847458
2009-05-05,-1.26728
2009-05-06,2.22045e-14
2009-05-07,0.227273
2009-05-08,-1.35593
2009-05-09,-1.94064
2009-05-10,-9.38548
2009-05-11,-12.3196
2009-05-12,-11.3379
2009-05-13,-13.2812
2009-05-14,-15.2981
2009-05-15,-13.5802
2009-05-16,-11.0245
2009-05-17,-6.04027
2009-05-18,0
2009-05-19,0.113766
2009-05-20,-3.24074
2009-05-21,-2.7618
2009-05-22,-9.11188
2009-05-23,-15.6213
2009-05-24,-25.2983
2009-05-25,-27.3058
2009-05-26,-27.4293
2009-05-27,-21.375
2009-05-28,-19.7957
2009-05-29,-17.3969
2009-05-30,-9.85545
2009-05-31,2.41611
2009-06-01,1.87919
2009-06-02,-3.0914
2009-06-03,-4.84522
2009-06-04,-11.8984
2009-06-05,-16
2009-06-06,-27.1053
2009-06-07,-38.5714
2009-06-08,-48.961
2009-06-09,-47.6684
2009-06-10,-50.8951
2009-06-11,-49.8731
2009-06-12,-46.6837
2009-06-13,-39.6178
2009-06-14,-33.9218
2009-06-15,-28.0397
2009-06-16,-28.4133
2009-06-17,-30.8733
2009-06-18,-31.5789
2009-06-19,-33.09
2009-06-20,-27.6903
2009-06-21,-27.3087
2009-06-22,-26.9883
2009-06-23,-27.1768
2009-06-24,-26.8068
2009-06-25,-24.2063
2009-06-26,-24.5968
2009-06-27,-30.6273
2009-06-28,-29.6296
2009-06-29,-33.125
2009-06-30,-32.6708
2009-07-01,-31.2968
2009-07-02,-33.75
2009-07-03,-32.716
2009-07-04,-33.209
2009-07-05,-33.7408
2009-07-06,-28.7485
2009-07-07,-27.729
2009-07-08,-28.934
2009-07-09,-27.4611
2009-07-10,-26.3089
2009-07-11,-27.1077
2009-07-12,-26.7457
2009-07-13,-27.5817
2009-07-14,-30.545
2009-07-15,-31.2422
2009-07-16,-36.7844
2009-07-17,-38.9091
2009-07-18,-43.4416
2009-07-19,-53.0048
2009-07-20,-54.067
2009-07-21,-54.9701
2009-07-22,-53.8553
2009-07-23,-49.1824
2009-07-24,-48.7469
2009-07-25,-44.9367
2009-07-26,-40.8685
2009-07-27,-46.0938
2009-07-28,-45.1444
2009-07-29,-50.9753
2009-07-30,-59.2727
2009-07-31,-66.9073
2009-08-01,-73.8975
2009-08-02,-74.1897
2009-08-03,-74.6791
2009-08-04,-82.2857
2009-08-05,-77.8912
2009-08-06,-69.874
2009-08-07,-60.6519
2009-08-08,-50.5549
2009-08-09,-42.6582
2009-08-10,-32.0972
2009-08-11,-23.5521
2009-08-12,-22.5764
2009-08-13,-27.4026
2009-08-14,-30.6633
2009-08-15,-36.0714
2009-08-16,-45.2381
2009-08-17,-54.4318
2009-08-18,-58.9713
2009-08-19,-66.5089
2009-08-20,-69.797
2009-08-21,-75.4558
2009-08-22,-79.8722
2009-08-23,-82.1369
2009-08-24,-82.5424
2009-08-25,-83.9428
