Date,Avg. UTXO Amount
2009-01-10,50
2009-01-11,50
2009-01-12,49.7126
2009-01-13,49.0809
2009-01-14,49.3671
2009-01-15,49.7126
2009-01-16,49.8454
2009-01-17,50
2009-01-18,50
2009-01-19,50.1034
2009-01-20,50.7491
2009-01-21,50.9787
2009-01-22,51.3023
2009-01-23,51.2906
2009-01-24,51.3937
2009-01-25,51.5058
2009-01-26,51.3476
2009-01-27,51.7942
2009-01-28,51.7588
2009-01-29,51.6651
2009-01-30,51.8309
2009-01-31,51.7389
2009-02-01,52.0425
2009-02-02,51.9727
2009-02-03,51.8787
2009-02-04,51.5675
2009-02-05,51.5044
2009-02-06,51.4429
2009-02-07,51.388
2009-02-08,51.6285
2009-02-09,51.5661
2009-02-10,52.1334
2009-02-11,52.0634
2009-02-12,52.1561
2009-02-13,52.0903
2009-02-14,52.0259
2009-02-15,51.9596
2009-02-16,52.0224
2009-02-17,52.3112
2009-02-18,52.2509
2009-02-19,52.1933
2009-02-20,52.3017
2009-02-21,52.2436
2009-02-22,52.1919
2009-02-23,52.2117
2009-02-24,52.1655
2009-02-25,52.122
2009-02-26,52.0806
2009-02-27,52.0401
2009-02-28,52.325
2009-03-01,52.3397
2009-03-02,52.2972
2009-03-03,52.2549
2009-03-04,52.2678
2009-03-05,52.4187
2009-03-06,52.4343
2009-03-07,52.3889
2009-03-08,52.3482
2009-03-09,52.4923
2009-03-10,52.4514
2009-03-11,52.4122
2009-03-12,52.3719
2009-03-13,52.3466
2009-03-14,52.3982
2009-03-15,52.3613
2009-03-16,52.3213
2009-03-17,52.6183
2009-03-18,52.5782
2009-03-19,52.6229
2009-03-20,52.5811
2009-03-21,52.6164
2009-03-22,52.5996
2009-03-23,52.6203
2009-03-24,52.5781
2009-03-25,52.545
2009-03-26,52.509
2009-03-27,52.6432
2009-03-28,52.6102
2009-03-29,52.6782
2009-03-30,52.6425
2009-03-31,52.6065
2009-04-01,52.7575
2009-04-02,52.7226
2009-04-03,52.6883
2009-04-04,52.6546
2009-04-05,52.6226
2009-04-06,52.6699
2009-04-07,52.6395
2009-04-08,52.6123
2009-04-09,52.5843
2009-04-10,52.5584
2009-04-11,52.5308
2009-04-12,52.5319
2009-04-13,52.5335
2009-04-14,52.5002
2009-04-15,52.4706
2009-04-16,52.4442
2009-04-17,52.4161
2009-04-18,52.3911
2009-04-19,52.3587
2009-04-20,52.3665
2009-04-21,52.8763
2009-04-22,52.8399
2009-04-23,52.8095
2009-04-24,52.791
2009-04-25,52.763
2009-04-26,52.7349
2009-04-27,52.7673
2009-04-28,52.743
2009-04-29,52.7161
2009-04-30,52.7704
2009-05-01,52.7406
2009-05-02,52.7136
2009-05-03,52.7328
2009-05-04,52.7054
2009-05-05,52.7991
2009-05-06,52.8068
2009-05-07,52.7773
2009-05-08,52.7513
2009-05-09,52.7288
2009-05-10,52.7126
2009-05-11,52.6953
2009-05-12,52.6711
2009-05-13,52.6454
2009-05-14,52.6161
2009-05-15,52.5897
2009-05-16,52.5984
2009-05-17,52.5764
2009-05-18,52.5532
2009-05-19,52.5321
2009-05-20,52.5169
2009-05-21,52.496
2009-05-22,52.482
2009-05-23,52.4716
2009-05-24,52.4662
2009-05-25,52.4495
2009-05-26,52.4315
2009-05-27,52.4112
2009-05-28,52.3922
2009-05-29,52.3772
2009-05-30,52.5635
2009-05-31,52.5453
2009-06-01,52.5295
2009-06-02,52.5145
2009-06-03,52.4966
2009-06-04,52.4853
2009-06-05,52.4749
2009-06-06,52.4702
2009-06-07,52.4659
2009-06-08,52.4634
2009-06-09,52.4507
2009-06-10,52.4367
2009-06-11,52.4243
2009-06-12,52.411
2009-06-13,52.3982
2009-06-14,52.3868
2009-06-15,52.3763
2009-06-16,52.3642
2009-06-17,52.3541
2009-06-18,52.3429
2009-06-19,52.3317
2009-06-20,52.3196
2009-06-21,52.3089
2009-06-22,52.2979
2009-06-23,52.4692
2009-06-24,52.4582
2009-06-25,52.4446
2009-06-26,52.4929
2009-06-27,52.4799
2009-06-28,52.4679
2009-06-29,52.4584
2009-06-30,52.4497
2009-07-01,52.4379
2009-07-02,52.4307
2009-07-03,52.4164
2009-07-04,52.4052
2009-07-05,52.3933
2009-07-06,52.3828
2009-07-07,52.3717
2009-07-08,52.3627
2009-07-09,52.3531
2009-07-10,52.3421
2009-07-11,52.3318
2009-07-12,52.3213
2009-07-13,52.3117
2009-07-14,52.302
2009-07-15,52.2935
2009-07-16,52.288
2009-07-17,52.2794
2009-07-18,52.2737
2009-07-19,52.2732
2009-07-20,52.2648
2009-07-21,52.5856
2009-07-22,52.5744
2009-07-23,52.5663
2009-07-24,52.5561
2009-07-25,52.5464
2009-07-26,52.5422
2009-07-27,52.5394
2009-07-28,52.5296
2009-07-29,52.5243
2009-07-30,52.5245
2009-07-31,52.5199
2009-08-01,52.5177
2009-08-02,52.514
2009-08-03,52.5111
2009-08-04,52.5095
2009-08-05,52.4991
2009-08-06,52.488
2009-08-07,52.4767
2009-08-08,52.757
2009-08-09,52.7459
2009-08-10,52.7319
2009-08-11,52.7217
2009-08-12,52.7122
2009-08-13,52.7036
2009-08-14,52.6923
2009-08-15,52.6839
2009-08-16,52.6804
2009-08-17,52.6779
2009-08-18,52.6757
2009-08-19,52.6743
2009-08-20,52.672
2009-08-21,52.6691
2009-08-22,52.6673
2009-08-23,52.6663
2009-08-24,52.6644
2009-08-25,52.6624
2009-08-26,52.6559
2009-08-27,52.7604
