Date,UTXO Set Size
2009-01-10,19
2009-01-11,80
2009-01-12,174
2009-01-13,272
2009-01-14,395
2009-01-15,522
2009-01-16,647
2009-01-17,753
2009-01-18,862
2009-01-19,967
2009-01-20,1068
2009-01-21,1175
2009-01-22,1267
2009-01-23,1356
2009-01-24,1435
2009-01-25,1627
2009-01-26,1818
2009-01-27,1895
2009-01-28,1990
2009-01-29,2102
2009-01-30,2212
2009-01-31,2329
2009-02-01,2448
2009-02-02,2560
2009-02-03,2688
2009-02-04,2839
2009-02-05,2958
2009-02-06,3084
2009-02-07,3206
2009-02-08,3316
2009-02-09,3448
2009-02-10,3539
2009-02-11,3659
2009-02-12,3780
2009-02-13,3899
2009-02-14,4023
2009-02-15,4159
2009-02-16,4277
2009-02-17,4370
2009-02-18,4487
2009-02-19,4605
2009-02-20,4714
2009-02-21,4836
2009-02-22,4950
2009-02-23,5064
2009-02-24,5172
2009-02-25,5278
2009-02-26,5383
2009-02-27,5490
2009-02-28,5570
2009-03-01,5663
2009-03-02,5768
2009-03-03,5876
2009-03-04,5975
2009-03-05,6057
2009-03-06,6162
2009-03-07,6279
2009-03-08,6388
2009-03-09,6480
2009-03-10,6588
2009-03-11,6695
2009-03-12,6809
2009-03-13,6925
2009-03-14,7026
2009-03-15,7136
2009-03-16,7259
2009-03-17,7333
2009-03-18,7447
2009-03-19,7549
2009-03-20,7671
2009-03-21,7778
2009-03-22,7828
2009-03-23,7938
2009-03-24,8068
2009-03-25,8173
2009-03-26,8290
2009-03-27,8380
2009-03-28,8486
2009-03-29,8588
2009-03-30,8704
2009-03-31,8824
2009-04-01,8903
2009-04-02,9017
2009-04-03,9132
2009-04-04,9248
2009-04-05,9361
2009-04-06,9476
2009-04-07,9585
2009-04-08,9685
2009-04-09,9790
2009-04-10,9889
2009-04-11,9997
2009-04-12,10111
2009-04-13,10223
2009-04-14,10339
2009-04-15,10463
2009-04-16,10576
2009-04-17,10699
2009-04-18,10811
2009-04-19,10938
2009-04-20,11050
2009-04-21,11056
2009-04-22,11180
2009-04-23,11301
2009-04-24,11376
2009-04-25,11491
2009-04-26,11609
2009-04-27,11708
2009-04-28,11812
2009-04-29,11929
2009-04-30,12038
2009-05-01,12169
2009-05-02,12290
2009-05-03,12405
