profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,7745.260638
1,1353.5,30,20,1,7/12/2018,7/31/2018,FALSE,FALSE,,
2,172.5,30,20,1,7/12/2018,7/31/2018,TRUE,FALSE,,
3,1422.9,30,20,1,7/12/2018,7/31/2018,FALSE,TRUE,,
4,172.5,30,20,1,7/12/2018,7/31/2018,TRUE,TRUE,,
5,1357,30,20,2,7/13/2018,8/1/2018,FALSE,FALSE,,
6,169,30,20,2,7/13/2018,8/1/2018,TRUE,FALSE,,
7,1419.4,30,20,2,7/13/2018,8/1/2018,FALSE,TRUE,,
8,169,30,20,2,7/13/2018,8/1/2018,TRUE,TRUE,,
9,1315.2,30,20,3,7/14/2018,8/2/2018,FALSE,FALSE,,
10,69.2,30,20,3,7/14/2018,8/2/2018,TRUE,FALSE,,
11,1377.6,30,20,3,7/14/2018,8/2/2018,FALSE,TRUE,,
12,69.2,30,20,3,7/14/2018,8/2/2018,TRUE,TRUE,,
13,1170,30,20,4,7/15/2018,8/3/2018,FALSE,FALSE,,
14,214.4,30,20,4,7/15/2018,8/3/2018,TRUE,FALSE,,
15,1462.8,30,20,4,7/15/2018,8/3/2018,FALSE,TRUE,,
16,214.4,30,20,4,7/15/2018,8/3/2018,TRUE,TRUE,,
17,666.0156549,30,20,5,7/16/2018,8/4/2018,FALSE,FALSE,,
18,523.9843451,30,20,5,7/16/2018,8/4/2018,TRUE,FALSE,,
19,958.8156549,30,20,5,7/16/2018,8/4/2018,FALSE,TRUE,,
20,523.9843451,30,20,5,7/16/2018,8/4/2018,TRUE,TRUE,,
21,296.6,30,20,6,7/17/2018,8/5/2018,FALSE,FALSE,,
22,154.5686901,30,20,6,7/17/2018,8/5/2018,TRUE,FALSE,,
23,589.4,30,20,6,7/17/2018,8/5/2018,FALSE,TRUE,,
24,154.5686901,30,20,6,7/17/2018,8/5/2018,TRUE,TRUE,,
25,-378.6,30,20,7,7/18/2018,8/6/2018,FALSE,FALSE,,
26,829.7686901,30,20,7,7/18/2018,8/6/2018,TRUE,FALSE,,
27,83.4,30,20,7,7/18/2018,8/6/2018,FALSE,TRUE,,
