"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-1415.3,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-164.099999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,-1415.3,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,-164.099999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,-2019.8,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-2664,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,-1823.8,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-2664,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-2324.70000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-2359.09999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,-2324.70000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-2359.09999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-2540.55955159001,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-3005.15955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-2540.55955159001,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-3005.15955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-2977.4,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-2658.4,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-2896.99999999998,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-2658.4,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-2957,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-1578.4,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-3512.39999999998,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-1578.4,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,-2588.87687562,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1770.32312438002,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,-2588.87687562,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
28,-549.123124380018,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE
29,-1929.5,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE
