"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs","btc_tec_regs_lag1_only","twitter_and_btc_regs_and_lag1"
1,-1415.3,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE,FALSE,FALSE
2,-164.099999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE,FALSE,FALSE
3,-1415.3,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE,FALSE,FALSE
4,-164.099999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE,FALSE,FALSE
5,4633.90000000002,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE,TRUE,FALSE
6,-2892.5,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE,FALSE,TRUE
7,-2019.8,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE,FALSE,FALSE
8,-2664,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE,FALSE,FALSE
9,-1823.8,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE,FALSE,FALSE
10,-2664,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE,FALSE,FALSE
11,3066.80000000002,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE,TRUE,FALSE
12,-2110,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE,FALSE,TRUE
13,-2324.70000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE,FALSE,FALSE
14,-2359.09999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE,FALSE,FALSE
15,-2324.70000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE,FALSE,FALSE
16,-2359.09999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE,FALSE,FALSE
17,1143.10000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE,TRUE,FALSE
18,-912.499999999969,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE,FALSE,TRUE
19,-2540.55955159001,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE,FALSE,FALSE
20,-3005.15955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE,FALSE,FALSE
21,-2540.55955159001,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE,FALSE,FALSE
22,-3005.15955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE,FALSE,FALSE
23,202.24044840999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE,TRUE,FALSE
24,-2020.95955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE,FALSE,TRUE
25,-2977.4,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE,FALSE,FALSE
26,-2658.4,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE,FALSE,FALSE
27,-2896.99999999998,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE,FALSE,FALSE
28,-2658.4,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE,FALSE,FALSE
29,287.999999999998,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE,TRUE,FALSE
30,-1664.00000000002,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE,FALSE,TRUE
31,-2957,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE,FALSE,FALSE
32,-1578.4,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE,FALSE,FALSE
33,-3512.39999999998,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE,FALSE,FALSE
34,-1578.4,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE,FALSE,FALSE
35,1258.6,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE,TRUE,FALSE
36,-882.799999999999,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE,FALSE,TRUE
37,-2588.87687562,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE,FALSE,FALSE
38,-1770.32312438002,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE,FALSE,FALSE
39,-2588.87687562,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE,FALSE,FALSE
40,-549.123124380018,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE,FALSE,FALSE
41,-2781.07687562,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE,TRUE,FALSE
42,-1399.12312438,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE,FALSE,TRUE
43,-1929.5,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE,FALSE,FALSE
44,3779.10000000002,40,20,1,"2018-03-11","2018-03-30",TRUE,FALSE,FALSE,FALSE
45,-1236.45375124,40,20,1,"2018-03-11","2018-03-30",FALSE,TRUE,FALSE,FALSE
46,3779.10000000002,40,20,1,"2018-03-11","2018-03-30",TRUE,TRUE,FALSE,FALSE
47,2060.50000000002,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE,TRUE,FALSE
48,747.900000000021,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE,FALSE,TRUE
49,-2602.30000000001,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE,FALSE,FALSE
50,1226.85375124005,40,20,2,"2018-03-12","2018-03-31",TRUE,FALSE,FALSE,FALSE
51,-2905.10000000001,40,20,2,"2018-03-12","2018-03-31",FALSE,TRUE,FALSE,FALSE
52,1226.85375124005,40,20,2,"2018-03-12","2018-03-31",TRUE,TRUE,FALSE,FALSE
53,59.6999999999907,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE,TRUE,FALSE
54,1630.65375124003,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE,FALSE,TRUE
55,-2313.6,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE,FALSE,FALSE
56,720.553751240061,40,20,3,"2018-03-13","2018-04-01",TRUE,FALSE,FALSE,FALSE
57,-2313.6,40,20,3,"2018-03-13","2018-04-01",FALSE,TRUE,FALSE,FALSE
58,720.553751240061,40,20,3,"2018-03-13","2018-04-01",TRUE,TRUE,FALSE,FALSE
59,2041.99999999998,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE,TRUE,FALSE
60,1514.60000000004,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE,FALSE,TRUE
61,-2081.9,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE,FALSE,FALSE
62,1965.50000000004,40,20,4,"2018-03-14","2018-04-02",TRUE,FALSE,FALSE,FALSE
63,-1558.85375124,40,20,4,"2018-03-14","2018-04-02",FALSE,TRUE,FALSE,FALSE
64,1965.50000000004,40,20,4,"2018-03-14","2018-04-02",TRUE,TRUE,FALSE,FALSE
65,1810.29999999998,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE,TRUE,FALSE
66,1282.90000000004,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE,FALSE,TRUE
67,-770.4,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,FALSE,FALSE
68,2583.95375124004,40,20,5,"2018-03-15","2018-04-03",TRUE,FALSE,FALSE,FALSE
69,-712.153751239981,40,20,5,"2018-03-15","2018-04-03",FALSE,TRUE,FALSE,FALSE
70,2583.95375124004,40,20,5,"2018-03-15","2018-04-03",TRUE,TRUE,FALSE,FALSE
71,537.4,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,TRUE,FALSE
72,2822.2,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE,FALSE,TRUE
73,-1464.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE,FALSE,FALSE
74,2572.45375124004,40,20,6,"2018-03-16","2018-04-04",TRUE,FALSE,FALSE,FALSE
75,-2674.45375123998,40,20,6,"2018-03-16","2018-04-04",FALSE,TRUE,FALSE,FALSE
76,2572.45375124004,40,20,6,"2018-03-16","2018-04-04",TRUE,TRUE,FALSE,FALSE
77,1231.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE,TRUE,FALSE
