"","ME","RMSE","MAE","MPE","MAPE","MASE","AIC","BIC"
"Annual_Hash_Growth",-28.4317742092509,426.260230734584,321.524516351303,-0.427540291478721,3.69627622787278,0.990422490888142,1963.1806818699,1968.9310765163
"Blockchain_Size",2.1804401347465,427.722719768349,323.223363821925,-0.0729546481369435,3.70682566726084,0.995655612027974,1964.06597483365,1969.81636948005
"Block_Height",-2.89281163575874,428.172315161507,323.629371737847,-0.128533013843643,3.71210168710983,0.996906276754794,1964.30684722436,1970.05724187076
"Block_Interval",-28.0847431511878,428.809693554201,322.394574661192,-0.423992244903935,3.7033610722204,0.993102614097026,1964.74288013274,1970.49327477914
"Daily_Blocks",-28.0997889464369,428.809551088589,322.123436931582,-0.424032854107544,3.70042875437192,0.992267402808689,1964.7427929167,1970.4931875631
"Block_Size",-28.177782589835,428.698133368605,322.272788461147,-0.424982602600284,3.70185784272412,0.992727464503541,1964.6747006014,1970.4250952478
"Chain_Value_Density",-29.5454301677876,428.462181790659,321.513171125513,-0.443697878216578,3.69204767024209,0.99038754311211,1964.53040749319,1970.28080213959
"Daily_Transactions",-28.3480754725847,425.639049419283,319.052552841151,-0.426187587649958,3.67262035828717,0.9828078670178,1962.79837303096,1968.54876767736
"Difficulty",-27.2411622622502,428.796519845829,322.491577050404,-0.413836119778983,3.70503916570083,0.993401419765207,1964.73481713731,1970.48521178371
"Fee_Percentage",-27.9317743314248,428.71474063456,322.360299622172,-0.420836060300231,3.70113642982963,0.992997033440511,1964.68486266251,1970.43525730892
"Fee_Rate",-26.8626223733458,428.274483547843,321.572773858067,-0.408267216212905,3.69032729951368,0.990571143067441,1964.41568863042,1970.16608327682
"Hash_Rate",-35.4650263874648,427.912205210203,323.057274086073,-0.515413227455806,3.71285801323605,0.995143990047292,1964.19407681948,1969.94447146588
"Two_Week_Hash_Growth",-27.4068834416789,426.971898553855,321.85981249819,-0.422243299213424,3.698378771015,0.991455335439945,1963.61761839117,1969.36801303757
"Market_Capitalization",-29.3542254855303,428.413173892997,321.488947082451,-0.441781046233206,3.69165352507519,0.990312923492614,1964.50043574133,1970.25083038773
"Metcalfe_s_Law___TX",-27.257746048643,426.048364967832,320.649795400229,-0.410984772899672,3.69018907385912,0.98772800490298,1963.05030885124,1968.80070349765
"Metcalfe_s_Law___UTXO",-28.9217490407072,428.366701091541,321.478059441767,-0.437775151128757,3.69134889087538,0.990279385259422,1964.47201602711,1970.22241067351
"Miner_Revenue",-28.0778885533415,428.809992011252,322.382423213471,-0.423907921494353,3.70321827299503,0.993065182839042,1964.74306549728,1970.49346014368
"Miner_Revenue_Value",-28.1469958990896,428.810041888513,322.093711754811,-0.424688355321186,3.69997348850532,0.99217583752479,1964.74309236915,1970.49348701555
"Money_Supply",-1.86346660588283,428.559425217981,324.658716767413,-0.119357030966648,3.72127766998311,1.00007706596781,1964.30684722436,1970.05724187076
"Output_Value",-27.0165248656858,428.374521270162,323.04809646959,-0.413660924415498,3.71326542019167,0.995115719363985,1964.47688171639,1970.2272763628
