"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-581.699999999999,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,19.2999999999975,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,-383.9,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,-939.100000000002,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,-327.599999999999,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,15.7999999999975,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,-129.799999999999,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,-942.600000000002,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,-227.799999999998,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,115.599999999998,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,-29.9999999999991,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,-842.800000000002,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,-142.599999999999,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,30.3999999999978,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,55.2000000000007,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,-697.600000000002,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,361.384345070001,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,339.984345069998,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,559.184345070001,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,-193.615654930002,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,730.800000000001,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,-54.6000000000022,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,928.6,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,200.968690139998,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,1236.8,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,620.599999999999,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,1434.6,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,706.968690139998,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,600.899999999997,40,20,1,"2018-07-22","2018-08-10",FALSE,FALSE
30,173.66869014,40,20,1,"2018-07-22","2018-08-10",TRUE,FALSE
31,1846.7,40,20,1,"2018-07-22","2018-08-10",FALSE,TRUE
32,667.868690140002,40,20,1,"2018-07-22","2018-08-10",TRUE,TRUE
33,508.699999999997,40,20,2,"2018-07-23","2018-08-11",FALSE,FALSE
34,81.46869014,40,20,2,"2018-07-23","2018-08-11",TRUE,FALSE
35,1766.1,40,20,2,"2018-07-23","2018-08-11",FALSE,TRUE
36,760.068690140002,40,20,2,"2018-07-23","2018-08-11",TRUE,TRUE
37,267.299999999997,40,20,3,"2018-07-24","2018-08-12",FALSE,FALSE
38,484.468690139999,40,20,3,"2018-07-24","2018-08-12",TRUE,FALSE
39,1524.7,40,20,3,"2018-07-24","2018-08-12",FALSE,TRUE
40,1163.06869014,40,20,3,"2018-07-24","2018-08-12",TRUE,TRUE
41,875.499999999996,40,20,4,"2018-07-25","2018-08-13",FALSE,FALSE
42,-123.731309860001,40,20,4,"2018-07-25","2018-08-13",TRUE,FALSE
43,792.499999999996,40,20,4,"2018-07-25","2018-08-13",FALSE,TRUE
44,430.868690140001,40,20,4,"2018-07-25","2018-08-13",TRUE,TRUE
45,1150,40,20,5,"2018-07-26","2018-08-14",FALSE,FALSE
46,-272.431309860001,40,20,5,"2018-07-26","2018-08-14",TRUE,FALSE
47,941.199999999997,40,20,5,"2018-07-26","2018-08-14",FALSE,TRUE
48,156.368690140001,40,20,5,"2018-07-26","2018-08-14",TRUE,TRUE
49,829.399999999997,40,20,6,"2018-07-27","2018-08-15",FALSE,FALSE
50,-430.631309860001,40,20,6,"2018-07-27","2018-08-15",TRUE,FALSE
51,782.999999999997,40,20,6,"2018-07-27","2018-08-15",FALSE,TRUE
52,-1.83130985999833,40,20,6,"2018-07-27","2018-08-15",TRUE,TRUE
53,1123.8,40,20,7,"2018-07-28","2018-08-16",FALSE,FALSE
54,-136.231309860001,40,20,7,"2018-07-28","2018-08-16",TRUE,FALSE
55,986.599999999997,40,20,7,"2018-07-28","2018-08-16",FALSE,TRUE
56,201.768690140001,40,20,7,"2018-07-28","2018-08-16",TRUE,TRUE
57,353.599999999996,50,20,1,"2018-08-01","2018-08-20",FALSE,FALSE
58,-407.724304779999,50,20,1,"2018-08-01","2018-08-20",TRUE,FALSE
59,228.599999999998,50,20,1,"2018-08-01","2018-08-20",FALSE,TRUE
60,273.968690140001,50,20,1,"2018-08-01","2018-08-20",TRUE,TRUE
61,5.09999999999491,50,20,2,"2018-08-02","2018-08-21",FALSE,FALSE
62,-59.2243047799984,50,20,2,"2018-08-02","2018-08-21",TRUE,FALSE
63,-119.900000000003,50,20,2,"2018-08-02","2018-08-21",FALSE,TRUE
64,622.468690140002,50,20,2,"2018-08-02","2018-08-21",TRUE,TRUE
65,-181.000000000005,50,20,3,"2018-08-03","2018-08-22",FALSE,FALSE
66,-245.324304779999,50,20,3,"2018-08-03","2018-08-22",TRUE,FALSE
67,-306.000000000004,50,20,3,"2018-08-03","2018-08-22",FALSE,TRUE
68,436.368690140001,50,20,3,"2018-08-03","2018-08-22",TRUE,TRUE
69,-459.600000000005,50,20,4,"2018-08-04","2018-08-23",FALSE,FALSE
70,-523.924304779998,50,20,4,"2018-08-04","2018-08-23",TRUE,FALSE
71,-257.800000000004,50,20,4,"2018-08-04","2018-08-23",FALSE,TRUE
72,484.568690140001,50,20,4,"2018-08-04","2018-08-23",TRUE,TRUE
73,-699.984345070005,50,20,5,"2018-08-05","2018-08-24",FALSE,FALSE
74,-764.308649849998,50,20,5,"2018-08-05","2018-08-24",TRUE,FALSE
75,-498.184345070003,50,20,5,"2018-08-05","2018-08-24",FALSE,TRUE
76,244.184345070002,50,20,5,"2018-08-05","2018-08-24",TRUE,TRUE
77,-648.100000000005,50,20,6,"2018-08-06","2018-08-25",FALSE,FALSE
78,-737.592994919999,50,20,6,"2018-08-06","2018-08-25",TRUE,FALSE
79,-524.900000000002,50,20,6,"2018-08-06","2018-08-25",FALSE,TRUE
80,192.300000000002,50,20,6,"2018-08-06","2018-08-25",TRUE,TRUE
81,-589.400000000004,50,20,7,"2018-08-07","2018-08-26",FALSE,FALSE
82,-848.092994919999,50,20,7,"2018-08-07","2018-08-26",TRUE,FALSE
83,-414.400000000002,50,20,7,"2018-08-07","2018-08-26",FALSE,TRUE
84,81.800000000002,50,20,7,"2018-08-07","2018-08-26",TRUE,TRUE
85,-791.500000000001,60,20,1,"2018-08-11","2018-08-30",FALSE,FALSE
86,1047.1,60,20,1,"2018-08-11","2018-08-30",TRUE,FALSE
87,-627.79299492,60,20,1,"2018-08-11","2018-08-30",FALSE,TRUE
88,185.499999999999,60,20,1,"2018-08-11","2018-08-30",TRUE,TRUE
89,-733.700000000001,60,20,2,"2018-08-12","2018-08-31",FALSE,FALSE
90,932.1,60,20,2,"2018-08-12","2018-08-31",TRUE,FALSE
91,-512.792994919999,60,20,2,"2018-08-12","2018-08-31",FALSE,TRUE
92,127.699999999999,60,20,2,"2018-08-12","2018-08-31",TRUE,TRUE
93,-470.100000000002,60,20,3,"2018-08-13","2018-09-01",FALSE,FALSE
94,668.500000000002,60,20,3,"2018-08-13","2018-09-01",TRUE,FALSE
95,-249.19299492,60,20,3,"2018-08-13","2018-09-01",FALSE,TRUE
96,229.699999999999,60,20,3,"2018-08-13","2018-09-01",TRUE,TRUE
97,-305.500000000002,60,20,4,"2018-08-14","2018-09-02",FALSE,FALSE
98,709.100000000002,60,20,4,"2018-08-14","2018-09-02",TRUE,FALSE
99,-84.5929949199999,60,20,4,"2018-08-14","2018-09-02",FALSE,TRUE
100,270.299999999999,60,20,4,"2018-08-14","2018-09-02",TRUE,TRUE
101,-400.600000000001,60,20,5,"2018-08-15","2018-09-03",FALSE,FALSE
102,614.000000000003,60,20,5,"2018-08-15","2018-09-03",TRUE,FALSE
103,-179.692994919999,60,20,5,"2018-08-15","2018-09-03",FALSE,TRUE
104,175.2,60,20,5,"2018-08-15","2018-09-03",TRUE,TRUE
105,-410.500000000001,60,20,6,"2018-08-16","2018-09-04",FALSE,FALSE
106,623.900000000002,60,20,6,"2018-08-16","2018-09-04",TRUE,FALSE
107,-351.992994919999,60,20,6,"2018-08-16","2018-09-04",FALSE,TRUE
108,185.099999999999,60,20,6,"2018-08-16","2018-09-04",TRUE,TRUE
109,-1110.8,60,20,7,"2018-08-17","2018-09-05",FALSE,FALSE
110,1233.4,60,20,7,"2018-08-17","2018-09-05",TRUE,FALSE
111,-1052.29299492,60,20,7,"2018-08-17","2018-09-05",FALSE,TRUE
112,794.599999999999,60,20,7,"2018-08-17","2018-09-05",TRUE,TRUE
113,271.800000000001,70,20,1,"2018-08-21","2018-09-09",FALSE,FALSE
114,682.199999999999,70,20,1,"2018-08-21","2018-09-09",TRUE,FALSE
115,622.800000000003,70,20,1,"2018-08-21","2018-09-09",FALSE,TRUE
116,431,70,20,1,"2018-08-21","2018-09-09",TRUE,TRUE
117,123.6,70,20,2,"2018-08-22","2018-09-10",FALSE,FALSE
118,533.999999999998,70,20,2,"2018-08-22","2018-09-10",TRUE,FALSE
119,474.600000000002,70,20,2,"2018-08-22","2018-09-10",FALSE,TRUE
120,282.799999999999,70,20,2,"2018-08-22","2018-09-10",TRUE,TRUE
121,-15.6999999999998,70,20,3,"2018-08-23","2018-09-11",FALSE,FALSE
122,673.299999999998,70,20,3,"2018-08-23","2018-09-11",TRUE,FALSE
123,335.300000000002,70,20,3,"2018-08-23","2018-09-11",FALSE,TRUE
124,191.499999999999,70,20,3,"2018-08-23","2018-09-11",TRUE,TRUE
125,-220.61672182,70,20,4,"2018-08-24","2018-09-12",FALSE,FALSE
126,468.383278179998,70,20,4,"2018-08-24","2018-09-12",TRUE,FALSE
127,130.383278180002,70,20,4,"2018-08-24","2018-09-12",FALSE,TRUE
128,-13.4167218200009,70,20,4,"2018-08-24","2018-09-12",TRUE,TRUE
129,102.366556360001,70,20,5,"2018-08-25","2018-09-13",FALSE,FALSE
130,478.199999999999,70,20,5,"2018-08-25","2018-09-13",TRUE,FALSE
131,120.566556360001,70,20,5,"2018-08-25","2018-09-13",FALSE,TRUE
132,-3.60000000000036,70,20,5,"2018-08-25","2018-09-13",TRUE,TRUE
133,54.1665563600018,70,20,6,"2018-08-26","2018-09-14",FALSE,FALSE
134,526.399999999998,70,20,6,"2018-08-26","2018-09-14",TRUE,FALSE
135,150.966556360001,70,20,6,"2018-08-26","2018-09-14",FALSE,TRUE
136,44.5999999999985,70,20,6,"2018-08-26","2018-09-14",TRUE,TRUE
137,47.3665563600016,70,20,7,"2018-08-27","2018-09-15",FALSE,FALSE
138,584.999999999997,70,20,7,"2018-08-27","2018-09-15",TRUE,FALSE
139,144.166556360001,70,20,7,"2018-08-27","2018-09-15",FALSE,TRUE
140,103.199999999998,70,20,7,"2018-08-27","2018-09-15",TRUE,TRUE
141,-242.333443639998,80,20,1,"2018-08-31","2018-09-19",FALSE,FALSE
142,-51.788832000002,80,20,1,"2018-08-31","2018-09-19",TRUE,FALSE
143,392.866556360001,80,20,1,"2018-08-31","2018-09-19",FALSE,TRUE
144,-51.788832000002,80,20,1,"2018-08-31","2018-09-19",TRUE,TRUE
145,-167.925962039998,80,20,2,"2018-09-01","2018-09-20",FALSE,FALSE
146,79.8186495999989,80,20,2,"2018-09-01","2018-09-20",TRUE,FALSE
147,467.274037960001,80,20,2,"2018-09-01","2018-09-20",FALSE,TRUE
148,79.8186495999989,80,20,2,"2018-09-01","2018-09-20",TRUE,TRUE
149,283.066556360001,80,20,3,"2018-09-02","2018-09-21",FALSE,FALSE
150,530.811167999998,80,20,3,"2018-09-02","2018-09-21",TRUE,FALSE
151,552.666556360002,80,20,3,"2018-09-02","2018-09-21",FALSE,TRUE
152,530.811167999998,80,20,3,"2018-09-02","2018-09-21",TRUE,TRUE
153,346.566556360001,80,20,4,"2018-09-03","2018-09-22",FALSE,FALSE
154,594.311167999998,80,20,4,"2018-09-03","2018-09-22",TRUE,FALSE
155,410.966556360001,80,20,4,"2018-09-03","2018-09-22",FALSE,TRUE
156,594.311167999998,80,20,4,"2018-09-03","2018-09-22",TRUE,TRUE
157,391.766556360001,80,20,5,"2018-09-04","2018-09-23",FALSE,FALSE
158,613.511167999998,80,20,5,"2018-09-04","2018-09-23",TRUE,FALSE
159,391.766556360001,80,20,5,"2018-09-04","2018-09-23",FALSE,TRUE
160,613.511167999998,80,20,5,"2018-09-04","2018-09-23",TRUE,TRUE
161,607.76655636,80,20,6,"2018-09-05","2018-09-24",FALSE,FALSE
162,397.511167999999,80,20,6,"2018-09-05","2018-09-24",TRUE,FALSE
163,607.76655636,80,20,6,"2018-09-05","2018-09-24",FALSE,TRUE
164,397.511167999999,80,20,6,"2018-09-05","2018-09-24",TRUE,TRUE
165,1404.96655636,80,20,7,"2018-09-06","2018-09-25",FALSE,FALSE
166,-115.088832,80,20,7,"2018-09-06","2018-09-25",TRUE,FALSE
167,1404.96655636,80,20,7,"2018-09-06","2018-09-25",FALSE,TRUE
168,-115.088832,80,20,7,"2018-09-06","2018-09-25",TRUE,TRUE
169,1179.96655636,90,20,1,"2018-09-10","2018-09-29",FALSE,FALSE
170,-433.214963199999,90,20,1,"2018-09-10","2018-09-29",TRUE,FALSE
171,537.166556360001,90,20,1,"2018-09-10","2018-09-29",FALSE,TRUE
172,-433.214963199999,90,20,1,"2018-09-10","2018-09-29",TRUE,TRUE
173,1079.86655636,90,20,2,"2018-09-11","2018-09-30",FALSE,FALSE
174,-483.1149632,90,20,2,"2018-09-11","2018-09-30",TRUE,FALSE
175,587.066556360001,90,20,2,"2018-09-11","2018-09-30",FALSE,TRUE
176,-483.1149632,90,20,2,"2018-09-11","2018-09-30",TRUE,TRUE
177,1035.36655636,90,20,3,"2018-09-12","2018-10-01",FALSE,FALSE
178,-527.6149632,90,20,3,"2018-09-12","2018-10-01",TRUE,FALSE
179,542.566556360001,90,20,3,"2018-09-12","2018-10-01",FALSE,TRUE
180,-527.6149632,90,20,3,"2018-09-12","2018-10-01",TRUE,TRUE
181,1151.28327818,90,20,4,"2018-09-13","2018-10-02",FALSE,FALSE
182,-560.498241379999,90,20,4,"2018-09-13","2018-10-02",TRUE,FALSE
183,658.483278180001,90,20,4,"2018-09-13","2018-10-02",FALSE,TRUE
184,-560.498241379999,90,20,4,"2018-09-13","2018-10-02",TRUE,TRUE
185,1019,90,20,5,"2018-09-14","2018-10-03",FALSE,FALSE
186,-428.214963199999,90,20,5,"2018-09-14","2018-10-03",TRUE,FALSE
187,526.200000000002,90,20,5,"2018-09-14","2018-10-03",FALSE,TRUE
188,-428.214963199999,90,20,5,"2018-09-14","2018-10-03",TRUE,TRUE
189,940.700000000001,90,20,6,"2018-09-15","2018-10-04",FALSE,FALSE
190,-524.314963199999,90,20,6,"2018-09-15","2018-10-04",TRUE,FALSE
191,447.900000000001,90,20,6,"2018-09-15","2018-10-04",FALSE,TRUE
192,-524.314963199999,90,20,6,"2018-09-15","2018-10-04",TRUE,TRUE
193,1022.9,90,20,7,"2018-09-16","2018-10-05",FALSE,FALSE
194,-541.114963199999,90,20,7,"2018-09-16","2018-10-05",TRUE,FALSE
195,530.100000000001,90,20,7,"2018-09-16","2018-10-05",FALSE,TRUE
196,-541.114963199999,90,20,7,"2018-09-16","2018-10-05",TRUE,TRUE
197,277.114963200002,100,20,1,"2018-09-20","2018-10-09",FALSE,FALSE
