profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs
1,-2652.3,30,20,1,3/1/2018,3/20/2018,FALSE,FALSE
2,-1915.9,30,20,1,3/1/2018,3/20/2018,TRUE,FALSE
3,-798.3808968,30,20,1,3/1/2018,3/20/2018,FALSE,TRUE
4,-164.1,30,20,1,3/1/2018,3/20/2018,TRUE,TRUE
5,-3233.8,30,20,2,3/2/2018,3/21/2018,FALSE,FALSE
6,-4325.719103,30,20,2,3/2/2018,3/21/2018,TRUE,FALSE
7,-1438.880897,30,20,2,3/2/2018,3/21/2018,FALSE,TRUE
8,-2664,30,20,2,3/2/2018,3/21/2018,TRUE,TRUE
9,-4101.7,30,20,3,3/3/2018,3/22/2018,FALSE,FALSE
10,-4110.9,30,20,3,3/3/2018,3/22/2018,TRUE,FALSE
11,-1995.9,30,20,3,3/3/2018,3/22/2018,FALSE,TRUE
12,-2359.1,30,20,3,3/3/2018,3/22/2018,TRUE,TRUE
13,-2828.240448,30,20,4,3/4/2018,3/23/2018,FALSE,FALSE
14,-3895.040448,30,20,4,3/4/2018,3/23/2018,TRUE,FALSE
15,-1174.440448,30,20,4,3/4/2018,3/23/2018,FALSE,TRUE
16,-3005.159552,30,20,4,3/4/2018,3/23/2018,TRUE,TRUE
17,-2223.8,30,20,5,3/5/2018,3/24/2018,FALSE,FALSE
18,-3458.2,30,20,5,3/5/2018,3/24/2018,TRUE,FALSE
19,-1032.4,30,20,5,3/5/2018,3/24/2018,FALSE,TRUE
20,-3442,30,20,5,3/5/2018,3/24/2018,TRUE,TRUE
21,-1276,30,20,6,3/6/2018,3/25/2018,FALSE,FALSE
22,-429.6,30,20,6,3/6/2018,3/25/2018,TRUE,FALSE
23,-846.8,30,20,6,3/6/2018,3/25/2018,FALSE,TRUE
24,-1215.4,30,20,6,3/6/2018,3/25/2018,TRUE,TRUE
25,-2008.276876,30,20,7,3/7/2018,3/26/2018,FALSE,FALSE
26,318.8768756,30,20,7,3/7/2018,3/26/2018,TRUE,FALSE
27,-3849.276876,30,20,7,3/7/2018,3/26/2018,FALSE,TRUE
28,-975.3231244,30,20,7,3/7/2018,3/26/2018,TRUE,TRUE
29,-748.1,40,20,1,3/11/2018,3/30/2018,FALSE,FALSE
30,2472.1,40,20,1,3/11/2018,3/30/2018,TRUE,FALSE
31,-2503.653751,40,20,1,3/11/2018,3/30/2018,FALSE,TRUE
32,3779.1,40,20,1,3/11/2018,3/30/2018,TRUE,TRUE
33,94.7,40,20,2,3/12/2018,3/31/2018,FALSE,FALSE
34,427.0537512,40,20,2,3/12/2018,3/31/2018,TRUE,FALSE
35,-1830.853751,40,20,2,3/12/2018,3/31/2018,FALSE,TRUE
36,1226.853751,40,20,2,3/12/2018,3/31/2018,TRUE,TRUE
37,-194,40,20,3,3/13/2018,4/1/2018,FALSE,FALSE
38,-79.24624876,40,20,3,3/13/2018,4/1/2018,TRUE,FALSE
39,-1542.153751,40,20,3,3/13/2018,4/1/2018,FALSE,TRUE
40,720.5537512,40,20,3,3/13/2018,4/1/2018,TRUE,TRUE
41,37.7,40,20,4,3/14/2018,4/2/2018,FALSE,FALSE
42,1165.7,40,20,4,3/14/2018,4/2/2018,TRUE,FALSE
43,1050.5,40,20,4,3/14/2018,4/2/2018,FALSE,TRUE
44,1965.5,40,20,4,3/14/2018,4/2/2018,TRUE,TRUE
45,644.6,40,20,5,3/15/2018,4/3/2018,FALSE,FALSE
46,1784.153751,40,20,5,3/15/2018,4/3/2018,TRUE,FALSE
47,-1493.353751,40,20,5,3/15/2018,4/3/2018,FALSE,TRUE
48,1800.353751,40,20,5,3/15/2018,4/3/2018,TRUE,TRUE
49,1190.1,40,20,6,3/16/2018,4/4/2018,FALSE,FALSE
50,2721.853751,40,20,6,3/16/2018,4/4/2018,TRUE,FALSE
51,-2038.853751,40,20,6,3/16/2018,4/4/2018,FALSE,TRUE
52,2572.453751,40,20,6,3/16/2018,4/4/2018,TRUE,TRUE
53,740.8,40,20,7,3/17/2018,4/5/2018,FALSE,FALSE
54,1161.6,40,20,7,3/17/2018,4/5/2018,TRUE,FALSE
55,-1728.953751,40,20,7,3/17/2018,4/5/2018,FALSE,TRUE
56,1890.2,40,20,7,3/17/2018,4/5/2018,TRUE,TRUE
57,1358.2,50,20,1,3/21/2018,4/9/2018,FALSE,FALSE
58,2795.4,50,20,1,3/21/2018,4/9/2018,TRUE,FALSE
59,-1265.353751,50,20,1,3/21/2018,4/9/2018,FALSE,TRUE
60,3302.6,50,20,1,3/21/2018,4/9/2018,TRUE,TRUE
61,1413.7,50,20,2,3/22/2018,4/10/2018,FALSE,FALSE
62,1747.453751,50,20,2,3/22/2018,4/10/2018,TRUE,FALSE
63,-1320.853751,50,20,2,3/22/2018,4/10/2018,FALSE,TRUE
64,1747.453751,50,20,2,3/22/2018,4/10/2018,TRUE,TRUE
65,1496.6,50,20,3,3/23/2018,4/11/2018,FALSE,FALSE
66,1664.553751,50,20,3,3/23/2018,4/11/2018,TRUE,FALSE
67,-1403.753751,50,20,3,3/23/2018,4/11/2018,FALSE,TRUE
68,1664.553751,50,20,3,3/23/2018,4/11/2018,TRUE,TRUE
69,312.6,50,20,4,3/24/2018,4/12/2018,FALSE,FALSE
70,4325.2,50,20,4,3/24/2018,4/12/2018,TRUE,FALSE
71,-408,50,20,4,3/24/2018,4/12/2018,FALSE,TRUE
72,4325.2,50,20,4,3/24/2018,4/12/2018,TRUE,TRUE
73,-54.1,50,20,5,3/25/2018,4/13/2018,FALSE,FALSE
74,3265.453751,50,20,5,3/25/2018,4/13/2018,TRUE,FALSE
75,-3222.453751,50,20,5,3/25/2018,4/13/2018,FALSE,TRUE
76,1327.653751,50,20,5,3/25/2018,4/13/2018,TRUE,TRUE
77,142.5032431,50,20,6,3/26/2018,4/14/2018,FALSE,FALSE
78,789.2505082,50,20,6,3/26/2018,4/14/2018,TRUE,FALSE
79,-2615.850508,50,20,6,3/26/2018,4/14/2018,FALSE,TRUE
80,859.6505082,50,20,6,3/26/2018,4/14/2018,TRUE,TRUE
81,-133.2231244,50,20,7,3/27/2018,4/15/2018,FALSE,FALSE
82,1773.623124,50,20,7,3/27/2018,4/15/2018,TRUE,FALSE
83,-2273.376876,50,20,7,3/27/2018,4/15/2018,FALSE,TRUE
84,2146.823124,50,20,7,3/27/2018,4/15/2018,TRUE,TRUE
85,25.60648616,60,20,1,3/31/2018,4/19/2018,FALSE,FALSE
86,1456.8,60,20,1,3/31/2018,4/19/2018,TRUE,FALSE
87,1631.2,60,20,1,3/31/2018,4/19/2018,FALSE,TRUE
88,1791.4,60,20,1,3/31/2018,4/19/2018,TRUE,TRUE
89,-651.7935138,60,20,2,4/1/2018,4/20/2018,FALSE,FALSE
90,2667.393514,60,20,2,4/1/2018,4/20/2018,TRUE,FALSE
91,1610.4,60,20,2,4/1/2018,4/20/2018,FALSE,TRUE
92,3001.993514,60,20,2,4/1/2018,4/20/2018,TRUE,TRUE
93,-807.6935138,60,20,3,4/2/2018,4/21/2018,FALSE,FALSE
94,2025.9,60,20,3,4/2/2018,4/21/2018,TRUE,FALSE
95,1766.3,60,20,3,4/2/2018,4/21/2018,FALSE,TRUE
96,2360.5,60,20,3,4/2/2018,4/21/2018,TRUE,TRUE
97,-1161.3,60,20,4,4/3/2018,4/22/2018,FALSE,FALSE
98,2383.7,60,20,4,4/3/2018,4/22/2018,TRUE,FALSE
99,-1650.7,60,20,4,4/3/2018,4/22/2018,FALSE,TRUE
100,2383.7,60,20,4,4/3/2018,4/22/2018,TRUE,TRUE
101,-660.4,60,20,5,4/4/2018,4/23/2018,FALSE,FALSE
102,1882.8,60,20,5,4/4/2018,4/23/2018,TRUE,FALSE
103,-950.8,60,20,5,4/4/2018,4/23/2018,FALSE,TRUE
104,279.6,60,20,5,4/4/2018,4/23/2018,TRUE,TRUE
105,-1748.793514,60,20,6,4/5/2018,4/24/2018,FALSE,FALSE
106,-1835,60,20,6,4/5/2018,4/24/2018,TRUE,FALSE
107,940.8,60,20,6,4/5/2018,4/24/2018,FALSE,TRUE
108,-555.4,60,20,6,4/5/2018,4/24/2018,TRUE,TRUE
109,-1192.2,60,20,7,4/6/2018,4/25/2018,FALSE,FALSE
110,1370.6,60,20,7,4/6/2018,4/25/2018,TRUE,FALSE
111,-2430,60,20,7,4/6/2018,4/25/2018,FALSE,TRUE
112,255.8,60,20,7,4/6/2018,4/25/2018,TRUE,TRUE
113,-78.49351384,70,20,1,4/10/2018,4/29/2018,FALSE,FALSE
114,-71.1,70,20,1,4/10/2018,4/29/2018,TRUE,FALSE
115,2699.1,70,20,1,4/10/2018,4/29/2018,FALSE,TRUE
116,492.3,70,20,1,4/10/2018,4/29/2018,TRUE,TRUE
117,13.90648616,70,20,2,4/11/2018,4/30/2018,FALSE,FALSE
118,431.0935138,70,20,2,4/11/2018,4/30/2018,TRUE,FALSE
119,2227.3,70,20,2,4/11/2018,4/30/2018,FALSE,TRUE
120,2287.893514,70,20,2,4/11/2018,4/30/2018,TRUE,TRUE
121,-52.49351384,70,20,3,4/12/2018,5/1/2018,FALSE,FALSE
122,-550.5,70,20,3,4/12/2018,5/1/2018,TRUE,FALSE
123,1948.9,70,20,3,4/12/2018,5/1/2018,FALSE,TRUE
124,-107.3,70,20,3,4/12/2018,5/1/2018,TRUE,TRUE
125,846.6,70,20,4,4/13/2018,5/2/2018,FALSE,FALSE
126,531.2,70,20,4,4/13/2018,5/2/2018,TRUE,FALSE
127,604.4,70,20,4,4/13/2018,5/2/2018,FALSE,TRUE
128,-1024,70,20,4,4/13/2018,5/2/2018,TRUE,TRUE
129,298.9,70,20,5,4/14/2018,5/3/2018,FALSE,FALSE
130,-16.5,70,20,5,4/14/2018,5/3/2018,TRUE,FALSE
131,2016.3,70,20,5,4/14/2018,5/3/2018,FALSE,TRUE
132,-1237.1,70,20,5,4/14/2018,5/3/2018,TRUE,TRUE
133,473.9032431,70,20,6,4/15/2018,5/4/2018,FALSE,FALSE
134,-691.6967569,70,20,6,4/15/2018,5/4/2018,TRUE,FALSE
135,1151.896757,70,20,6,4/15/2018,5/4/2018,FALSE,TRUE
136,721.9032431,70,20,6,4/15/2018,5/4/2018,TRUE,TRUE
137,983.7,70,20,7,4/16/2018,5/5/2018,FALSE,FALSE
138,482.5,70,20,7,4/16/2018,5/5/2018,TRUE,FALSE
139,177.3,70,20,7,4/16/2018,5/5/2018,FALSE,TRUE
140,-498.3,70,20,7,4/16/2018,5/5/2018,TRUE,TRUE
141,531.6,80,20,1,4/20/2018,5/9/2018,FALSE,FALSE
142,-936.4,80,20,1,4/20/2018,5/9/2018,TRUE,FALSE
143,570.4,80,20,1,4/20/2018,5/9/2018,FALSE,TRUE
144,-699.2,80,20,1,4/20/2018,5/9/2018,TRUE,TRUE
145,1424.2,80,20,2,4/21/2018,5/10/2018,FALSE,FALSE
146,-1337.2,80,20,2,4/21/2018,5/10/2018,TRUE,FALSE
147,278.2,80,20,2,4/21/2018,5/10/2018,FALSE,TRUE
148,193.4,80,20,2,4/21/2018,5/10/2018,TRUE,TRUE
149,865.7,80,20,3,4/22/2018,5/11/2018,FALSE,FALSE
150,-684.5,80,20,3,4/22/2018,5/11/2018,TRUE,FALSE
151,-374.5,80,20,3,4/22/2018,5/11/2018,FALSE,TRUE
152,-912.3,80,20,3,4/22/2018,5/11/2018,TRUE,TRUE
153,803,80,20,4,4/23/2018,5/12/2018,FALSE,FALSE
154,557.8,80,20,4,4/23/2018,5/12/2018,TRUE,FALSE
155,803,80,20,4,4/23/2018,5/12/2018,FALSE,TRUE
156,-997.4,80,20,4,4/23/2018,5/12/2018,TRUE,TRUE
157,441.6,80,20,5,4/24/2018,5/13/2018,FALSE,FALSE
158,919.2,80,20,5,4/24/2018,5/13/2018,TRUE,FALSE
159,725.6,80,20,5,4/24/2018,5/13/2018,FALSE,TRUE
160,-636,80,20,5,4/24/2018,5/13/2018,TRUE,TRUE
161,1161.2,80,20,6,4/25/2018,5/14/2018,FALSE,FALSE
162,1615.8,80,20,6,4/25/2018,5/14/2018,TRUE,FALSE
163,-769.8,80,20,6,4/25/2018,5/14/2018,FALSE,TRUE
164,2216.2,80,20,6,4/25/2018,5/14/2018,TRUE,TRUE
165,1012.5,80,20,7,4/26/2018,5/15/2018,FALSE,FALSE
166,1041.5,80,20,7,4/26/2018,5/15/2018,TRUE,FALSE
167,1012.5,80,20,7,4/26/2018,5/15/2018,FALSE,TRUE
168,1041.5,80,20,7,4/26/2018,5/15/2018,TRUE,TRUE
169,-1162.2,90,20,1,4/30/2018,5/19/2018,FALSE,FALSE
170,1634,90,20,1,4/30/2018,5/19/2018,TRUE,FALSE
171,-755.6,90,20,1,4/30/2018,5/19/2018,FALSE,TRUE
172,1642.4,90,20,1,4/30/2018,5/19/2018,TRUE,TRUE
173,-1028.9,90,20,2,5/1/2018,5/20/2018,FALSE,FALSE
174,2086.1,90,20,2,5/1/2018,5/20/2018,TRUE,FALSE
175,-622.3,90,20,2,5/1/2018,5/20/2018,FALSE,TRUE
176,2094.5,90,20,2,5/1/2018,5/20/2018,TRUE,TRUE
177,-732.4,90,20,3,5/2/2018,5/21/2018,FALSE,FALSE
178,2382.6,90,20,3,5/2/2018,5/21/2018,TRUE,FALSE
179,-325.8,90,20,3,5/2/2018,5/21/2018,FALSE,TRUE
180,2046.2,90,20,3,5/2/2018,5/21/2018,TRUE,TRUE
181,-1907.749955,90,20,4,5/3/2018,5/22/2018,FALSE,FALSE
182,2058.749955,90,20,4,5/3/2018,5/22/2018,TRUE,FALSE
183,-1075.549955,90,20,4,5/3/2018,5/22/2018,FALSE,TRUE
184,2058.749955,90,20,4,5/3/2018,5/22/2018,TRUE,TRUE
185,-1868.2,90,20,5,5/4/2018,5/23/2018,FALSE,FALSE
186,2098.299911,90,20,5,5/4/2018,5/23/2018,TRUE,FALSE
187,-1036,90,20,5,5/4/2018,5/23/2018,FALSE,TRUE
188,2098.299911,90,20,5,5/4/2018,5/23/2018,TRUE,TRUE
189,-1256.9,90,20,6,5/5/2018,5/24/2018,FALSE,FALSE
190,2112.7,90,20,6,5/5/2018,5/24/2018,TRUE,FALSE
191,-588.5,90,20,6,5/5/2018,5/24/2018,FALSE,TRUE
192,2713.1,90,20,6,5/5/2018,5/24/2018,TRUE,TRUE
193,-1048.3,90,20,7,5/6/2018,5/25/2018,FALSE,FALSE
194,2520.1,90,20,7,5/6/2018,5/25/2018,TRUE,FALSE
195,-1048.3,90,20,7,5/6/2018,5/25/2018,FALSE,TRUE
196,2520.1,90,20,7,5/6/2018,5/25/2018,TRUE,TRUE
197,-665,100,20,1,5/10/2018,5/29/2018,FALSE,FALSE
198,2768.499911,100,20,1,5/10/2018,5/29/2018,TRUE,FALSE
199,-484,100,20,1,5/10/2018,5/29/2018,FALSE,TRUE
