"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-686.100000000002,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-2417.90000000002,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,-2220.70000000002,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,-792.90000000002,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,-1290.6,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-2999.40000000002,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,-2825.20000000002,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-1397.40000000002,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-985.699999999992,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-2694.50000000001,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,-2520.30000000001,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-1092.50000000001,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-769.840448409992,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-2478.64044841001,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-2304.44044841001,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-1738.55955159001,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-1116.59999999998,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-2041.80000000002,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-2651.2,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-2175.4,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-1136.99999999998,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-2062.20000000002,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-2475.6,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-2195.8,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,-141.123124379982,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1066.32312438002,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,-3471.47687562,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
28,-1199.92312438,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE
29,-45.34624876002,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE
30,1360.49999999998,40,20,1,"2018-03-11","2018-03-30",TRUE,FALSE
31,-1385.05375123998,40,20,1,"2018-03-11","2018-03-30",FALSE,TRUE
32,347.099999999999,40,20,1,"2018-03-11","2018-03-30",TRUE,TRUE
33,627.45375123999,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE
34,2203.29999999999,40,20,2,"2018-03-12","2018-03-31",TRUE,FALSE
35,-712.253751239969,40,20,2,"2018-03-12","2018-03-31",FALSE,TRUE
36,1189.90000000001,40,20,2,"2018-03-12","2018-03-31",TRUE,TRUE
37,121.153751240001,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE
38,1697,40,20,3,"2018-03-13","2018-04-01",TRUE,FALSE
39,-423.553751239959,40,20,3,"2018-03-13","2018-04-01",FALSE,TRUE
40,683.60000000002,40,20,3,"2018-03-13","2018-04-01",TRUE,TRUE
41,-120.546248759999,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE
42,1465.3,40,20,4,"2018-03-14","2018-04-02",TRUE,FALSE
43,-181.853751239959,40,20,4,"2018-03-14","2018-04-02",FALSE,TRUE
44,925.30000000002,40,20,4,"2018-03-14","2018-04-02",TRUE,TRUE
45,1190.95375124,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE
46,2776.8,40,20,5,"2018-03-15","2018-04-03",TRUE,FALSE
47,-788.753751239959,40,20,5,"2018-03-15","2018-04-03",FALSE,TRUE
48,2236.80000000002,40,20,5,"2018-03-15","2018-04-03",TRUE,TRUE
49,497.253751240001,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE
50,3322.3,40,20,6,"2018-03-16","2018-04-04",TRUE,FALSE
51,-1334.25375123996,40,20,6,"2018-03-16","2018-04-04",FALSE,TRUE
52,2782.30000000002,40,20,6,"2018-03-16","2018-04-04",TRUE,TRUE
53,514.153751240001,40,20,7,"2018-03-17","2018-04-05",FALSE,FALSE
54,3305.4,40,20,7,"2018-03-17","2018-04-05",TRUE,FALSE
55,-1317.15375123996,40,20,7,"2018-03-17","2018-04-05",FALSE,TRUE
56,2765.40000000002,40,20,7,"2018-03-17","2018-04-05",TRUE,TRUE
57,-354.60000000002,50,20,1,"2018-03-21","2018-04-09",FALSE,FALSE
58,3565.2,50,20,1,"2018-03-21","2018-04-09",TRUE,FALSE
59,-1309.55375123996,50,20,1,"2018-03-21","2018-04-09",FALSE,TRUE
60,3735.8,50,20,1,"2018-03-21","2018-04-09",TRUE,TRUE
61,-433.10000000002,50,20,2,"2018-03-22","2018-04-10",FALSE,FALSE
62,3486.7,50,20,2,"2018-03-22","2018-04-10",TRUE,FALSE
63,-1231.05375123996,50,20,2,"2018-03-22","2018-04-10",FALSE,TRUE
64,3657.3,50,20,2,"2018-03-22","2018-04-10",TRUE,TRUE
65,-138.20000000001,50,20,3,"2018-03-23","2018-04-11",FALSE,FALSE
66,3403.79999999999,50,20,3,"2018-03-23","2018-04-11",TRUE,FALSE
67,-1313.95375123997,50,20,3,"2018-03-23","2018-04-11",FALSE,TRUE
68,3574.39999999999,50,20,3,"2018-03-23","2018-04-11",TRUE,TRUE
69,615.599999999989,50,20,4,"2018-03-24","2018-04-12",FALSE,FALSE
70,4587.79999999999,50,20,4,"2018-03-24","2018-04-12",TRUE,FALSE
71,-2067.75375123997,50,20,4,"2018-03-24","2018-04-12",FALSE,TRUE
72,4758.39999999999,50,20,4,"2018-03-24","2018-04-12",TRUE,TRUE
73,198.699999999989,50,20,5,"2018-03-25","2018-04-13",FALSE,FALSE
74,4221.10000000001,50,20,5,"2018-03-25","2018-04-13",TRUE,FALSE
75,-2434.45375123995,50,20,5,"2018-03-25","2018-04-13",FALSE,TRUE
76,4391.70000000001,50,20,5,"2018-03-25","2018-04-13",TRUE,TRUE
77,157.296756919989,50,20,6,"2018-03-26","2018-04-14",FALSE,FALSE
78,4024.49675692001,50,20,6,"2018-03-26","2018-04-14",TRUE,FALSE
79,-2393.05050815995,50,20,6,"2018-03-26","2018-04-14",FALSE,TRUE
80,4195.09675692001,50,20,6,"2018-03-26","2018-04-14",TRUE,TRUE
81,822.770389459999,50,20,7,"2018-03-27","2018-04-15",FALSE,FALSE
82,3359.02312438,50,20,7,"2018-03-27","2018-04-15",TRUE,FALSE
83,-1727.57687561994,50,20,7,"2018-03-27","2018-04-15",FALSE,TRUE
84,3529.62312438,50,20,7,"2018-03-27","2018-04-15",TRUE,TRUE
85,932.800000000031,60,20,1,"2018-03-31","2018-04-19",FALSE,FALSE
86,1680.40000000001,60,20,1,"2018-03-31","2018-04-19",TRUE,FALSE
87,-1553.19999999999,60,20,1,"2018-03-31","2018-04-19",FALSE,TRUE
88,-391.399999999988,60,20,1,"2018-03-31","2018-04-19",TRUE,TRUE
89,1440.20000000002,60,20,2,"2018-04-01","2018-04-20",FALSE,FALSE
90,1003.00000000002,60,20,2,"2018-04-01","2018-04-20",TRUE,FALSE
91,-875.799999999998,60,20,2,"2018-04-01","2018-04-20",FALSE,TRUE
92,-1068.79999999998,60,20,2,"2018-04-01","2018-04-20",TRUE,TRUE
93,1378.50000000004,60,20,3,"2018-04-02","2018-04-21",FALSE,FALSE
94,1064.7,60,20,3,"2018-04-02","2018-04-21",TRUE,FALSE
95,-719.9,60,20,3,"2018-04-02","2018-04-21",FALSE,TRUE
96,-1007.1,60,20,3,"2018-04-02","2018-04-21",TRUE,TRUE
97,1020.70000000003,60,20,4,"2018-04-03","2018-04-22",FALSE,FALSE
98,1422.50000000001,60,20,4,"2018-04-03","2018-04-22",TRUE,FALSE
99,-835.49999999999,60,20,4,"2018-04-03","2018-04-22",FALSE,TRUE
100,-649.299999999989,60,20,4,"2018-04-03","2018-04-22",TRUE,TRUE
101,1224.40000000002,60,20,5,"2018-04-04","2018-04-23",FALSE,FALSE
102,921.6,60,20,5,"2018-04-04","2018-04-23",TRUE,FALSE
103,-631.799999999999,60,20,5,"2018-04-04","2018-04-23",FALSE,TRUE
104,-1150.2,60,20,5,"2018-04-04","2018-04-23",TRUE,TRUE
105,1311.60000000001,60,20,6,"2018-04-05","2018-04-24",FALSE,FALSE
106,-404.79999999999,60,20,6,"2018-04-05","2018-04-24",TRUE,FALSE
107,694.599999999991,60,20,6,"2018-04-05","2018-04-24",FALSE,TRUE
108,-1063.00000000001,60,20,6,"2018-04-05","2018-04-24",TRUE,TRUE
109,551.000000000024,60,20,7,"2018-04-06","2018-04-25",FALSE,FALSE
110,-1165.39999999998,60,20,7,"2018-04-06","2018-04-25",TRUE,FALSE
111,-99.9999999999982,60,20,7,"2018-04-06","2018-04-25",FALSE,TRUE
112,-1823.6,60,20,7,"2018-04-06","2018-04-25",TRUE,TRUE
113,-458.099999999979,70,20,1,"2018-04-10","2018-04-29",FALSE,FALSE
114,525.299999999979,70,20,1,"2018-04-10","2018-04-29",TRUE,FALSE
115,4153.30000000002,70,20,1,"2018-04-10","2018-04-29",FALSE,TRUE
116,383.699999999981,70,20,1,"2018-04-10","2018-04-29",TRUE,TRUE
117,-365.699999999979,70,20,2,"2018-04-11","2018-04-30",FALSE,FALSE
118,751.699999999979,70,20,2,"2018-04-11","2018-04-30",TRUE,FALSE
119,4245.70000000002,70,20,2,"2018-04-11","2018-04-30",FALSE,TRUE
120,610.09999999998,70,20,2,"2018-04-11","2018-04-30",TRUE,TRUE
121,-432.099999999979,70,20,3,"2018-04-12","2018-05-01",FALSE,FALSE
122,818.099999999979,70,20,3,"2018-04-12","2018-05-01",TRUE,FALSE
123,3967.30000000002,70,20,3,"2018-04-12","2018-05-01",FALSE,TRUE
124,676.49999999998,70,20,3,"2018-04-12","2018-05-01",TRUE,TRUE
125,705.000000000011,70,20,4,"2018-04-13","2018-05-02",FALSE,FALSE
126,-319.000000000011,70,20,4,"2018-04-13","2018-05-02",TRUE,FALSE
127,3166.60000000001,70,20,4,"2018-04-13","2018-05-02",FALSE,TRUE
128,-460.600000000009,70,20,4,"2018-04-13","2018-05-02",TRUE,TRUE
129,157.299999999991,70,20,5,"2018-04-14","2018-05-03",FALSE,FALSE
130,-866.700000000031,70,20,5,"2018-04-14","2018-05-03",TRUE,FALSE
131,2618.89999999999,70,20,5,"2018-04-14","2018-05-03",FALSE,TRUE
132,-1008.30000000003,70,20,5,"2018-04-14","2018-05-03",TRUE,TRUE
