"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,650.700000000001,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,382.099999999999,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,650.700000000001,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,-456.700000000001,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,396.6,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,127.999999999998,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,396.6,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,-710.800000000001,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,438.400000000001,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,169.799999999998,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,296.8,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,-669.000000000001,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,353.200000000001,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,314.999999999998,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,211.6,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,-523.800000000001,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,857.184345070001,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,624.584345069999,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,715.58434507,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,-19.8156549300011,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,1226.6,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,229.999999999998,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,1085,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,-414.400000000001,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,720.6,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,905.199999999999,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,579,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,260.799999999999,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
