"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-188.5,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-1773.70000000002,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,606.5,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,-677.5,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,-770,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-2355.20000000002,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,25,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-1259,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-697.099999999989,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-2050.30000000001,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,97.9000000000106,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-1186.09999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-1343.15955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-2696.35955159001,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-548.15955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-1832.15955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-996.4,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-2349.60000000002,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-201.4,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-1485.4,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-820.799999999999,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-2370.00000000002,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-25.7999999999993,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-1309.8,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,175.07687562,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1374.12312438002,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,970.07687562,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
28,-313.92312438,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE
29,-1936.95955158999,33,20,1,"2018-03-04","2018-03-23",FALSE,FALSE
30,-1886.55955159001,33,20,1,"2018-03-04","2018-03-23",TRUE,FALSE
31,-1769.35955158999,33,20,1,"2018-03-04","2018-03-23",FALSE,TRUE
32,-1718.95955159001,33,20,1,"2018-03-04","2018-03-23",TRUE,TRUE
33,-1590.2,33,20,2,"2018-03-05","2018-03-24",FALSE,FALSE
34,-1539.80000000002,33,20,2,"2018-03-05","2018-03-24",TRUE,FALSE
35,-1422.6,33,20,2,"2018-03-05","2018-03-24",FALSE,TRUE
36,-1372.20000000002,33,20,2,"2018-03-05","2018-03-24",TRUE,TRUE
37,-1414.6,33,20,3,"2018-03-06","2018-03-25",FALSE,FALSE
38,-1560.20000000002,33,20,3,"2018-03-06","2018-03-25",TRUE,FALSE
39,-1247,33,20,3,"2018-03-06","2018-03-25",FALSE,TRUE
40,-1392.60000000002,33,20,3,"2018-03-06","2018-03-25",TRUE,TRUE
41,-418.723124379999,33,20,4,"2018-03-07","2018-03-26",FALSE,FALSE
42,-564.323124380019,33,20,4,"2018-03-07","2018-03-26",TRUE,FALSE
43,-251.12312438,33,20,4,"2018-03-07","2018-03-26",FALSE,TRUE
44,-396.723124380021,33,20,4,"2018-03-07","2018-03-26",TRUE,TRUE
45,737.200000000001,33,20,5,"2018-03-08","2018-03-27",FALSE,FALSE
46,591.59999999998,33,20,5,"2018-03-08","2018-03-27",TRUE,FALSE
47,904.799999999999,33,20,5,"2018-03-08","2018-03-27",FALSE,TRUE
48,759.199999999979,33,20,5,"2018-03-08","2018-03-27",TRUE,TRUE
49,1196.4,33,20,6,"2018-03-09","2018-03-28",FALSE,FALSE
50,1050.79999999998,33,20,6,"2018-03-09","2018-03-28",TRUE,FALSE
51,1364,33,20,6,"2018-03-09","2018-03-28",FALSE,TRUE
52,1218.39999999998,33,20,6,"2018-03-09","2018-03-28",TRUE,TRUE
53,2122.2,33,20,7,"2018-03-10","2018-03-29",FALSE,FALSE
54,1976.59999999998,33,20,7,"2018-03-10","2018-03-29",TRUE,FALSE
55,2122.2,33,20,7,"2018-03-10","2018-03-29",FALSE,TRUE
56,1976.59999999998,33,20,7,"2018-03-10","2018-03-29",TRUE,TRUE
57,-1085.32312438004,36,20,1,"2018-03-07","2018-03-26",FALSE,FALSE
58,87.2768756200012,36,20,1,"2018-03-07","2018-03-26",TRUE,FALSE
59,2188.07687561998,36,20,1,"2018-03-07","2018-03-26",FALSE,TRUE
60,118.076875619979,36,20,1,"2018-03-07","2018-03-26",TRUE,TRUE
61,70.5999999999585,36,20,2,"2018-03-08","2018-03-27",FALSE,FALSE
62,1243.2,36,20,2,"2018-03-08","2018-03-27",TRUE,FALSE
63,1725.19999999998,36,20,2,"2018-03-08","2018-03-27",FALSE,TRUE
64,1273.99999999998,36,20,2,"2018-03-08","2018-03-27",TRUE,TRUE
65,-691.400000000041,36,20,3,"2018-03-09","2018-03-28",FALSE,FALSE
66,1702.4,36,20,3,"2018-03-09","2018-03-28",TRUE,FALSE
67,963.199999999979,36,20,3,"2018-03-09","2018-03-28",FALSE,TRUE
68,1733.19999999998,36,20,3,"2018-03-09","2018-03-28",TRUE,TRUE
69,66.7999999999593,36,20,4,"2018-03-10","2018-03-29",FALSE,FALSE
70,2628.2,36,20,4,"2018-03-10","2018-03-29",TRUE,FALSE
71,1721.39999999998,36,20,4,"2018-03-10","2018-03-29",FALSE,TRUE
72,2491.39999999998,36,20,4,"2018-03-10","2018-03-29",TRUE,TRUE
73,766.69999999998,36,20,5,"2018-03-11","2018-03-30",FALSE,FALSE
74,3328.10000000002,36,20,5,"2018-03-11","2018-03-30",TRUE,FALSE
75,1528.69999999998,36,20,5,"2018-03-11","2018-03-30",FALSE,TRUE
76,2298.69999999998,36,20,5,"2018-03-11","2018-03-30",TRUE,TRUE
