"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,606.5,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,754.700000000001,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,1384.81910318,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,2418.1,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,25,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-2166.59999999998,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,1041.6,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,1041.6,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-697.099999999989,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-2261.29999999997,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,-129.699999999992,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-129.699999999992,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-2554.35955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-2907.35955158997,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-505.84044840997,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-425.75955158997,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-5018.60000000002,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-3344.19999999996,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-852.59999999996,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-875.59999999996,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-2042,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-1934.99999999996,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,118.00000000004,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,118.00000000004,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,-406.323124380001,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1669.47687561998,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,-900.87687561996,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
28,-900.87687561996,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE
29,1020.1,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE
30,488.146248760021,40,20,1,"2018-03-11","2018-03-30",TRUE,FALSE
31,-1919.49999999998,40,20,1,"2018-03-11","2018-03-30",FALSE,TRUE
32,-976.29999999998,40,20,1,"2018-03-11","2018-03-30",TRUE,TRUE
33,2602.30000000001,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE
34,235.346248760051,40,20,2,"2018-03-12","2018-03-31",TRUE,FALSE
35,-1098.49999999997,40,20,2,"2018-03-12","2018-03-31",FALSE,TRUE
36,-1098.49999999997,40,20,2,"2018-03-12","2018-03-31",TRUE,TRUE
37,2313.6,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE
38,-53.3537512399598,40,20,3,"2018-03-13","2018-04-01",TRUE,FALSE
39,-615.199999999981,40,20,3,"2018-03-13","2018-04-01",FALSE,TRUE
40,-832.799999999959,40,20,3,"2018-03-13","2018-04-01",TRUE,TRUE
41,2081.9,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE
42,188.34624876004,40,20,4,"2018-03-14","2018-04-02",TRUE,FALSE
43,-568.099999999959,40,20,4,"2018-03-14","2018-04-02",FALSE,TRUE
44,-568.099999999959,40,20,4,"2018-03-14","2018-04-02",TRUE,TRUE
45,615.199999999999,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE
46,625.246248760041,40,20,5,"2018-03-15","2018-04-03",TRUE,FALSE
47,115.646248760042,40,20,5,"2018-03-15","2018-04-03",FALSE,TRUE
48,92.646248760042,40,20,5,"2018-03-15","2018-04-03",TRUE,TRUE
49,1464.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE
50,1170.74624876004,40,20,6,"2018-03-16","2018-04-04",TRUE,FALSE
51,661.146248760042,40,20,6,"2018-03-16","2018-04-04",FALSE,TRUE
