profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,70131.18865
1,422.3,30,20,1,3/1/2018,3/20/2018,FALSE,FALSE,,
2,-2417.9,30,20,1,3/1/2018,3/20/2018,TRUE,FALSE,,
3,-2210.7,30,20,1,3/1/2018,3/20/2018,FALSE,TRUE,,
4,-792.9,30,20,1,3/1/2018,3/20/2018,TRUE,TRUE,,
5,-182.2,30,20,2,3/2/2018,3/21/2018,FALSE,FALSE,,
6,-3022.4,30,20,2,3/2/2018,3/21/2018,TRUE,FALSE,,
7,-2815.2,30,20,2,3/2/2018,3/21/2018,FALSE,TRUE,,
8,-1397.4,30,20,2,3/2/2018,3/21/2018,TRUE,TRUE,,
9,122.7,30,20,3,3/3/2018,3/22/2018,FALSE,FALSE,,
10,-2717.5,30,20,3,3/3/2018,3/22/2018,TRUE,FALSE,,
11,-2888.1,30,20,3,3/3/2018,3/22/2018,FALSE,TRUE,,
12,-1092.5,30,20,3,3/3/2018,3/22/2018,TRUE,TRUE,,
13,338.5595516,30,20,4,3/4/2018,3/23/2018,FALSE,FALSE,,
14,-2501.640448,30,20,4,3/4/2018,3/23/2018,TRUE,FALSE,,
15,-2672.240448,30,20,4,3/4/2018,3/23/2018,FALSE,TRUE,,
16,-1738.559552,30,20,4,3/4/2018,3/23/2018,TRUE,TRUE,,
17,-8.2,30,20,5,3/5/2018,3/24/2018,FALSE,FALSE,,
18,-2064.8,30,20,5,3/5/2018,3/24/2018,TRUE,FALSE,,
19,-3019,30,20,5,3/5/2018,3/24/2018,FALSE,TRUE,,
20,-2175.4,30,20,5,3/5/2018,3/24/2018,TRUE,TRUE,,
21,-28.6,30,20,6,3/6/2018,3/25/2018,FALSE,FALSE,,
22,-2085.2,30,20,6,3/6/2018,3/25/2018,TRUE,FALSE,,
23,-2843.4,30,20,6,3/6/2018,3/25/2018,FALSE,TRUE,,
24,-2195.8,30,20,6,3/6/2018,3/25/2018,TRUE,TRUE,,
25,967.2768756,30,20,7,3/7/2018,3/26/2018,FALSE,FALSE,,
26,-1089.323124,30,20,7,3/7/2018,3/26/2018,TRUE,FALSE,,
27,-3839.276876,30,20,7,3/7/2018,3/26/2018,FALSE,TRUE,,
28,-1199.923124,30,20,7,3/7/2018,3/26/2018,TRUE,TRUE,,
29,1495.253751,40,20,1,3/11/2018,3/30/2018,FALSE,FALSE,,
30,560.7,40,20,1,3/11/2018,3/30/2018,TRUE,FALSE,,
31,-1762.853751,40,20,1,3/11/2018,3/30/2018,FALSE,TRUE,,
32,-345.9462488,40,20,1,3/11/2018,3/30/2018,TRUE,TRUE,,
33,2168.053751,40,20,2,3/12/2018,3/31/2018,FALSE,FALSE,,
34,1403.5,40,20,2,3/12/2018,3/31/2018,TRUE,FALSE,,
35,-1090.053751,40,20,2,3/12/2018,3/31/2018,FALSE,TRUE,,
36,496.8537512,40,20,2,3/12/2018,3/31/2018,TRUE,TRUE,,
37,1661.753751,40,20,3,3/13/2018,4/1/2018,FALSE,FALSE,,
38,897.2,40,20,3,3/13/2018,4/1/2018,TRUE,FALSE,,
39,-801.3537512,40,20,3,3/13/2018,4/1/2018,FALSE,TRUE,,
40,-9.44624876,40,20,3,3/13/2018,4/1/2018,TRUE,TRUE,,
41,1420.053751,40,20,4,3/14/2018,4/2/2018,FALSE,FALSE,,
42,665.5,40,20,4,3/14/2018,4/2/2018,TRUE,FALSE,,
43,-559.6537512,40,20,4,3/14/2018,4/2/2018,FALSE,TRUE,,
44,232.2537512,40,20,4,3/14/2018,4/2/2018,TRUE,TRUE,,
45,813.1537512,40,20,5,3/15/2018,4/3/2018,FALSE,FALSE,,
46,1977,40,20,5,3/15/2018,4/3/2018,TRUE,FALSE,,
47,-1166.553751,40,20,5,3/15/2018,4/3/2018,FALSE,TRUE,,
48,1543.753751,40,20,5,3/15/2018,4/3/2018,TRUE,TRUE,,
49,119.4537512,40,20,6,3/16/2018,4/4/2018,FALSE,FALSE,,
50,2522.5,40,20,6,3/16/2018,4/4/2018,TRUE,FALSE,,
51,-1712.053751,40,20,6,3/16/2018,4/4/2018,FALSE,TRUE,,
52,850.0537512,40,20,6,3/16/2018,4/4/2018,TRUE,TRUE,,
53,136.3537512,40,20,7,3/17/2018,4/5/2018,FALSE,FALSE,,
54,2505.6,40,20,7,3/17/2018,4/5/2018,TRUE,FALSE,,
55,-1694.953751,40,20,7,3/17/2018,4/5/2018,FALSE,TRUE,,
56,867.1537512,40,20,7,3/17/2018,4/5/2018,TRUE,TRUE,,
57,-354.6,50,20,1,3/21/2018,4/9/2018,FALSE,FALSE,,
58,3410,50,20,1,3/21/2018,4/9/2018,TRUE,FALSE,,
59,-1687.353751,50,20,1,3/21/2018,4/9/2018,FALSE,TRUE,,
60,3769.8,50,20,1,3/21/2018,4/9/2018,TRUE,TRUE,,
61,-433.1,50,20,2,3/22/2018,4/10/2018,FALSE,FALSE,,
62,3331.5,50,20,2,3/22/2018,4/10/2018,TRUE,FALSE,,
63,-1608.853751,50,20,2,3/22/2018,4/10/2018,FALSE,TRUE,,
64,3691.3,50,20,2,3/22/2018,4/10/2018,TRUE,TRUE,,
65,-138.2,50,20,3,3/23/2018,4/11/2018,FALSE,FALSE,,
66,3248.6,50,20,3,3/23/2018,4/11/2018,TRUE,FALSE,,
67,-1313.953751,50,20,3,3/23/2018,4/11/2018,FALSE,TRUE,,
68,3608.4,50,20,3,3/23/2018,4/11/2018,TRUE,TRUE,,
69,615.6,50,20,4,3/24/2018,4/12/2018,FALSE,FALSE,,
70,4432.6,50,20,4,3/24/2018,4/12/2018,TRUE,FALSE,,
71,-129.9537512,50,20,4,3/24/2018,4/12/2018,FALSE,TRUE,,
72,4792.4,50,20,4,3/24/2018,4/12/2018,TRUE,TRUE,,
73,198.7,50,20,5,3/25/2018,4/13/2018,FALSE,FALSE,,
74,4065.9,50,20,5,3/25/2018,4/13/2018,TRUE,FALSE,,
75,-496.6537512,50,20,5,3/25/2018,4/13/2018,FALSE,TRUE,,
76,4425.7,50,20,5,3/25/2018,4/13/2018,TRUE,TRUE,,
77,157.2967569,50,20,6,3/26/2018,4/14/2018,FALSE,FALSE,,
78,4024.496757,50,20,6,3/26/2018,4/14/2018,TRUE,FALSE,,
79,-455.2505082,50,20,6,3/26/2018,4/14/2018,FALSE,TRUE,,
80,4229.096757,50,20,6,3/26/2018,4/14/2018,TRUE,TRUE,,
81,822.7703895,50,20,7,3/27/2018,4/15/2018,FALSE,FALSE,,
82,3359.023124,50,20,7,3/27/2018,4/15/2018,TRUE,FALSE,,
83,210.2231244,50,20,7,3/27/2018,4/15/2018,FALSE,TRUE,,
84,3563.623124,50,20,7,3/27/2018,4/15/2018,TRUE,TRUE,,
85,932.8,60,20,1,3/31/2018,4/19/2018,FALSE,FALSE,,
86,1680.4,60,20,1,3/31/2018,4/19/2018,TRUE,FALSE,,
87,-1553.2,60,20,1,3/31/2018,4/19/2018,FALSE,TRUE,,
88,-391.4,60,20,1,3/31/2018,4/19/2018,TRUE,TRUE,,
89,1440.2,60,20,2,4/1/2018,4/20/2018,FALSE,FALSE,,
90,1003,60,20,2,4/1/2018,4/20/2018,TRUE,FALSE,,
91,-875.8,60,20,2,4/1/2018,4/20/2018,FALSE,TRUE,,
92,-1068.8,60,20,2,4/1/2018,4/20/2018,TRUE,TRUE,,
93,1378.5,60,20,3,4/2/2018,4/21/2018,FALSE,FALSE,,
94,1064.7,60,20,3,4/2/2018,4/21/2018,TRUE,FALSE,,
95,-719.9,60,20,3,4/2/2018,4/21/2018,FALSE,TRUE,,
96,-1007.1,60,20,3,4/2/2018,4/21/2018,TRUE,TRUE,,
97,1020.7,60,20,4,4/3/2018,4/22/2018,FALSE,FALSE,,
98,1422.5,60,20,4,4/3/2018,4/22/2018,TRUE,FALSE,,
99,-835.5,60,20,4,4/3/2018,4/22/2018,FALSE,TRUE,,
100,-649.3,60,20,4,4/3/2018,4/22/2018,TRUE,TRUE,,
101,1224.4,60,20,5,4/4/2018,4/23/2018,FALSE,FALSE,,
102,921.6,60,20,5,4/4/2018,4/23/2018,TRUE,FALSE,,
103,-631.8,60,20,5,4/4/2018,4/23/2018,FALSE,TRUE,,
104,-1150.2,60,20,5,4/4/2018,4/23/2018,TRUE,TRUE,,
105,1311.6,60,20,6,4/5/2018,4/24/2018,FALSE,FALSE,,
106,-404.8,60,20,6,4/5/2018,4/24/2018,TRUE,FALSE,,
107,694.6,60,20,6,4/5/2018,4/24/2018,FALSE,TRUE,,
108,-1063,60,20,6,4/5/2018,4/24/2018,TRUE,TRUE,,
109,551,60,20,7,4/6/2018,4/25/2018,FALSE,FALSE,,
110,-1165.4,60,20,7,4/6/2018,4/25/2018,TRUE,FALSE,,
111,-100,60,20,7,4/6/2018,4/25/2018,FALSE,TRUE,,
112,-1823.6,60,20,7,4/6/2018,4/25/2018,TRUE,TRUE,,
113,-220.0935138,70,20,1,4/10/2018,4/29/2018,FALSE,FALSE,,
114,525.3,70,20,1,4/10/2018,4/29/2018,TRUE,FALSE,,
115,4153.3,70,20,1,4/10/2018,4/29/2018,FALSE,TRUE,,
116,383.7,70,20,1,4/10/2018,4/29/2018,TRUE,TRUE,,
117,-127.6935138,70,20,2,4/11/2018,4/30/2018,FALSE,FALSE,,
118,751.7,70,20,2,4/11/2018,4/30/2018,TRUE,FALSE,,
119,4245.7,70,20,2,4/11/2018,4/30/2018,FALSE,TRUE,,
120,610.1,70,20,2,4/11/2018,4/30/2018,TRUE,TRUE,,
121,-194.0935138,70,20,3,4/12/2018,5/1/2018,FALSE,FALSE,,
122,818.1,70,20,3,4/12/2018,5/1/2018,TRUE,FALSE,,
123,3967.3,70,20,3,4/12/2018,5/1/2018,FALSE,TRUE,,
124,676.5,70,20,3,4/12/2018,5/1/2018,TRUE,TRUE,,
125,943.0064862,70,20,4,4/13/2018,5/2/2018,FALSE,FALSE,,
126,-319,70,20,4,4/13/2018,5/2/2018,TRUE,FALSE,,
127,3166.6,70,20,4,4/13/2018,5/2/2018,FALSE,TRUE,,
128,-460.6,70,20,4,4/13/2018,5/2/2018,TRUE,TRUE,,
129,395.3064862,70,20,5,4/14/2018,5/3/2018,FALSE,FALSE,,
130,-866.7,70,20,5,4/14/2018,5/3/2018,TRUE,FALSE,,
131,2618.9,70,20,5,4/14/2018,5/3/2018,FALSE,TRUE,,
132,-1008.3,70,20,5,4/14/2018,5/3/2018,TRUE,TRUE,,
133,332.3032431,70,20,6,4/15/2018,5/4/2018,FALSE,FALSE,,
134,-691.6967569,70,20,6,4/15/2018,5/4/2018,TRUE,FALSE,,
135,2555.896757,70,20,6,4/15/2018,5/4/2018,FALSE,TRUE,,
136,-833.2967569,70,20,6,4/15/2018,5/4/2018,TRUE,TRUE,,
137,842.1,70,20,7,4/16/2018,5/5/2018,FALSE,FALSE,,
138,-498.3,70,20,7,4/16/2018,5/5/2018,TRUE,FALSE,,
139,2362.5,70,20,7,4/16/2018,5/5/2018,FALSE,TRUE,,
140,-639.9,70,20,7,4/16/2018,5/5/2018,TRUE,TRUE,,
141,531.6,80,20,1,4/20/2018,5/9/2018,FALSE,FALSE,,
142,837.4,80,20,1,4/20/2018,5/9/2018,TRUE,FALSE,,
143,1669,80,20,1,4/20/2018,5/9/2018,FALSE,TRUE,,
144,-347.4,80,20,1,4/20/2018,5/9/2018,TRUE,TRUE,,
145,1424.2,80,20,2,4/21/2018,5/10/2018,FALSE,FALSE,,
146,545.2,80,20,2,4/21/2018,5/10/2018,TRUE,FALSE,,
147,1376.8,80,20,2,4/21/2018,5/10/2018,FALSE,TRUE,,
148,545.2,80,20,2,4/21/2018,5/10/2018,TRUE,TRUE,,
149,865.7,80,20,3,4/22/2018,5/11/2018,FALSE,FALSE,,
150,1197.9,80,20,3,4/22/2018,5/11/2018,TRUE,FALSE,,
151,724.1,80,20,3,4/22/2018,5/11/2018,FALSE,TRUE,,
152,1197.9,80,20,3,4/22/2018,5/11/2018,TRUE,TRUE,,
153,803,80,20,4,4/23/2018,5/12/2018,FALSE,FALSE,,
154,1135.2,80,20,4,4/23/2018,5/12/2018,TRUE,FALSE,,
155,661.4,80,20,4,4/23/2018,5/12/2018,FALSE,TRUE,,
156,1135.2,80,20,4,4/23/2018,5/12/2018,TRUE,TRUE,,
157,441.6,80,20,5,4/24/2018,5/13/2018,FALSE,FALSE,,
158,1496.6,80,20,5,4/24/2018,5/13/2018,TRUE,FALSE,,
159,300,80,20,5,4/24/2018,5/13/2018,FALSE,TRUE,,
160,1496.6,80,20,5,4/24/2018,5/13/2018,TRUE,TRUE,,
161,1161.2,80,20,6,4/25/2018,5/14/2018,FALSE,FALSE,,
162,2216.2,80,20,6,4/25/2018,5/14/2018,TRUE,FALSE,,
163,-394,80,20,6,4/25/2018,5/14/2018,FALSE,TRUE,,
164,2216.2,80,20,6,4/25/2018,5/14/2018,TRUE,TRUE,,
165,180.3,80,20,7,4/26/2018,5/15/2018,FALSE,FALSE,,
166,1641.9,80,20,7,4/26/2018,5/15/2018,TRUE,FALSE,,
167,586.9,80,20,7,4/26/2018,5/15/2018,FALSE,TRUE,,
168,1641.9,80,20,7,4/26/2018,5/15/2018,TRUE,TRUE,,
169,-1162.2,90,20,1,4/30/2018,5/19/2018,FALSE,FALSE,,
170,1634,90,20,1,4/30/2018,5/19/2018,TRUE,FALSE,,
171,-736.6,90,20,1,4/30/2018,5/19/2018,FALSE,TRUE,,
172,1297.6,90,20,1,4/30/2018,5/19/2018,TRUE,TRUE,,
173,-1028.9,90,20,2,5/1/2018,5/20/2018,FALSE,FALSE,,
174,2086.1,90,20,2,5/1/2018,5/20/2018,TRUE,FALSE,,
175,-603.3,90,20,2,5/1/2018,5/20/2018,FALSE,TRUE,,
176,1749.7,90,20,2,5/1/2018,5/20/2018,TRUE,TRUE,,
177,-732.4,90,20,3,5/2/2018,5/21/2018,FALSE,FALSE,,
178,2382.6,90,20,3,5/2/2018,5/21/2018,TRUE,FALSE,,
179,-306.8,90,20,3,5/2/2018,5/21/2018,FALSE,TRUE,,
180,2046.2,90,20,3,5/2/2018,5/21/2018,TRUE,TRUE,,
181,-1322.349955,90,20,4,5/3/2018,5/22/2018,FALSE,FALSE,,
182,2636.149955,90,20,4,5/3/2018,5/22/2018,TRUE,FALSE,,
183,-896.7499554,90,20,4,5/3/2018,5/22/2018,FALSE,TRUE,,
184,2636.149955,90,20,4,5/3/2018,5/22/2018,TRUE,TRUE,,
185,-1282.8,90,20,5,5/4/2018,5/23/2018,FALSE,FALSE,,
186,3641.8,90,20,5,5/4/2018,5/23/2018,TRUE,FALSE,,
187,-857.2,90,20,5,5/4/2018,5/23/2018,FALSE,TRUE,,
188,3641.8,90,20,5,5/4/2018,5/23/2018,TRUE,TRUE,,
189,-1256.9,90,20,6,5/5/2018,5/24/2018,FALSE,FALSE,,
190,3667.7,90,20,6,5/5/2018,5/24/2018,TRUE,FALSE,,
191,-831.3,90,20,6,5/5/2018,5/24/2018,FALSE,TRUE,,
192,3667.7,90,20,6,5/5/2018,5/24/2018,TRUE,TRUE,,
193,-1535.1,90,20,7,5/6/2018,5/25/2018,FALSE,FALSE,,
194,3705.9,90,20,7,5/6/2018,5/25/2018,TRUE,FALSE,,
195,-869.5,90,20,7,5/6/2018,5/25/2018,FALSE,TRUE,,
196,3705.9,90,20,7,5/6/2018,5/25/2018,TRUE,TRUE,,
197,-665,100,20,1,5/10/2018,5/29/2018,FALSE,FALSE,,
