"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-528.5,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,828.1,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,-588.5,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,-675.5,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,-532,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,824.6,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,-592,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,-679,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,-432.2,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,866.400000000001,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,-492.2,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,-637.2,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,-577.4,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,781.200000000001,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,-347,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,-492,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,-73.4156549299996,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,1285.18434507,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,156.98434507,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,11.98434507,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,296,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,890.6,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,526.4,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,406.56869014,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,802,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,1565.8,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,1032.4,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,912.56869014,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,-719,33,20,1,"2018-07-15","2018-08-03",FALSE,FALSE
30,1062,33,20,1,"2018-07-15","2018-08-03",TRUE,FALSE
31,-487.599999999999,33,20,1,"2018-07-15","2018-08-03",FALSE,TRUE
32,528.4,33,20,1,"2018-07-15","2018-08-03",TRUE,TRUE
33,-215.01565493,33,20,2,"2018-07-16","2018-08-04",FALSE,FALSE
34,1565.98434507,33,20,2,"2018-07-16","2018-08-04",TRUE,FALSE
35,16.3843450700015,33,20,2,"2018-07-16","2018-08-04",FALSE,TRUE
36,1032.38434507,33,20,2,"2018-07-16","2018-08-04",TRUE,TRUE
37,154.4,33,20,3,"2018-07-17","2018-08-05",FALSE,FALSE
38,1171.4,33,20,3,"2018-07-17","2018-08-05",TRUE,FALSE
39,385.800000000001,33,20,3,"2018-07-17","2018-08-05",FALSE,TRUE
40,1426.96869014,33,20,3,"2018-07-17","2018-08-05",TRUE,TRUE
41,660.4,33,20,4,"2018-07-18","2018-08-06",FALSE,FALSE
42,1846.6,33,20,4,"2018-07-18","2018-08-06",TRUE,FALSE
43,891.800000000001,33,20,4,"2018-07-18","2018-08-06",FALSE,TRUE
44,2102.16869014,33,20,4,"2018-07-18","2018-08-06",TRUE,TRUE
45,823.2,33,20,5,"2018-07-19","2018-08-07",FALSE,FALSE
46,1683.8,33,20,5,"2018-07-19","2018-08-07",TRUE,FALSE
47,609.800000000002,33,20,5,"2018-07-19","2018-08-07",FALSE,TRUE
48,1939.36869014,33,20,5,"2018-07-19","2018-08-07",TRUE,TRUE
49,1167.2,33,20,6,"2018-07-20","2018-08-08",FALSE,FALSE
50,2216,33,20,6,"2018-07-20","2018-08-08",TRUE,FALSE
51,953.800000000002,33,20,6,"2018-07-20","2018-08-08",FALSE,TRUE
52,2471.56869014,33,20,6,"2018-07-20","2018-08-08",TRUE,TRUE
53,1054.7,33,20,7,"2018-07-21","2018-08-09",FALSE,FALSE
54,1822.7,33,20,7,"2018-07-21","2018-08-09",TRUE,FALSE
55,841.300000000001,33,20,7,"2018-07-21","2018-08-09",FALSE,TRUE
56,2584.06869014,33,20,7,"2018-07-21","2018-08-09",TRUE,TRUE
57,-153.168690140001,36,20,1,"2018-07-18","2018-08-06",FALSE,FALSE
58,1450.4,36,20,1,"2018-07-18","2018-08-06",TRUE,FALSE
59,-791.768690139999,36,20,1,"2018-07-18","2018-08-06",FALSE,TRUE
60,1756.36869014,36,20,1,"2018-07-18","2018-08-06",TRUE,TRUE
61,9.63130985999942,36,20,2,"2018-07-19","2018-08-07",FALSE,FALSE
62,1287.6,36,20,2,"2018-07-19","2018-08-07",TRUE,FALSE
63,-1073.76869014,36,20,2,"2018-07-19","2018-08-07",FALSE,TRUE
64,1593.56869014,36,20,2,"2018-07-19","2018-08-07",TRUE,TRUE
65,353.631309859999,36,20,3,"2018-07-20","2018-08-08",FALSE,FALSE
66,1819.8,36,20,3,"2018-07-20","2018-08-08",TRUE,FALSE
