"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-588.5,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,-455.299999999999,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,495.099999999999,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,1158.7,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,-842.6,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,-472.4,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,-685.800000000001,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,-604.599999999999,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,-824.400000000001,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,391.400000000001,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,1074,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,-107.200000000002,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,-719,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,-267.199999999999,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,1159.2,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,874.399999999998,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,-1028.58434507,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,1279.58434507,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,655.215654929999,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,1183.98434507,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,-659.168690140001,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,769.568690140002,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,285.799999999999,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,814.568690139999,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,-153.168690140001,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,1275.56869014,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,-389.400000000001,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,1320.56869014,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,-466.668690140002,40,20,1,"2018-07-22","2018-08-10",FALSE,FALSE
30,488.668690140002,40,20,1,"2018-07-22","2018-08-10",TRUE,FALSE
31,-27.6999999999998,40,20,1,"2018-07-22","2018-08-10",FALSE,TRUE
32,1305.46869014,40,20,1,"2018-07-22","2018-08-10",TRUE,TRUE
33,-992.068690140002,40,20,2,"2018-07-23","2018-08-11",FALSE,FALSE
34,309.06869014,40,20,2,"2018-07-23","2018-08-11",TRUE,FALSE
35,-1231.5,40,20,2,"2018-07-23","2018-08-11",FALSE,TRUE
36,-225.131309859999,40,20,2,"2018-07-23","2018-08-11",TRUE,TRUE
37,-1395.06869014,40,20,3,"2018-07-24","2018-08-12",FALSE,FALSE
38,-698.531309859999,40,20,3,"2018-07-24","2018-08-12",TRUE,FALSE
39,-511.3,40,20,3,"2018-07-24","2018-08-12",FALSE,TRUE
40,-741.7,40,20,3,"2018-07-24","2018-08-12",TRUE,TRUE
41,-1307.86869014,40,20,4,"2018-07-25","2018-08-13",FALSE,FALSE
42,-179.931309859998,40,20,4,"2018-07-25","2018-08-13",TRUE,FALSE
43,-1243.5,40,20,4,"2018-07-25","2018-08-13",FALSE,TRUE
44,466.46869014,40,20,4,"2018-07-25","2018-08-13",TRUE,TRUE
45,-1033.36869014,40,20,5,"2018-07-26","2018-08-14",FALSE,FALSE
46,567.768690140001,40,20,5,"2018-07-26","2018-08-14",TRUE,FALSE
47,-969,40,20,5,"2018-07-26","2018-08-14",FALSE,TRUE
48,740.96869014,40,20,5,"2018-07-26","2018-08-14",TRUE,TRUE
49,-875.168690140002,40,20,6,"2018-07-27","2018-08-15",FALSE,FALSE
50,-150.23130986,40,20,6,"2018-07-27","2018-08-15",TRUE,FALSE
51,-1127.2,40,20,6,"2018-07-27","2018-08-15",FALSE,TRUE
52,706.76869014,40,20,6,"2018-07-27","2018-08-15",TRUE,TRUE
53,-1169.56869014,40,20,7,"2018-07-28","2018-08-16",FALSE,FALSE
54,431.56869014,40,20,7,"2018-07-28","2018-08-16",TRUE,FALSE
55,-832.799999999999,40,20,7,"2018-07-28","2018-08-16",FALSE,TRUE
56,1001.16869014,40,20,7,"2018-07-28","2018-08-16",TRUE,TRUE
57,-1289.46168506,50,20,1,"2018-08-01","2018-08-20",FALSE,FALSE
58,239.368690140002,50,20,1,"2018-08-01","2018-08-20",TRUE,FALSE
59,-650.8,50,20,1,"2018-08-01","2018-08-20",FALSE,TRUE
60,-67.6313098599994,50,20,1,"2018-08-01","2018-08-20",TRUE,TRUE
61,-1385.76168506,50,20,2,"2018-08-02","2018-08-21",FALSE,FALSE
62,-839.13130986,50,20,2,"2018-08-02","2018-08-21",TRUE,FALSE
63,-302.299999999999,50,20,2,"2018-08-02","2018-08-21",FALSE,TRUE
64,468.668690140003,50,20,2,"2018-08-02","2018-08-21",TRUE,TRUE
65,-2335.06168506,50,20,3,"2018-08-03","2018-08-22",FALSE,FALSE
66,-2015.52430478,50,20,3,"2018-08-03","2018-08-22",TRUE,FALSE
67,-612.4,50,20,3,"2018-08-03","2018-08-22",FALSE,TRUE
68,-621.799999999999,50,20,3,"2018-08-03","2018-08-22",TRUE,TRUE
69,-1938.46168506,50,20,4,"2018-08-04","2018-08-23",FALSE,FALSE
70,-1187.52430478,50,20,4,"2018-08-04","2018-08-23",TRUE,FALSE
71,-981.8,50,20,4,"2018-08-04","2018-08-23",FALSE,TRUE
72,19.5686901400013,50,20,4,"2018-08-04","2018-08-23",TRUE,TRUE
73,-1365.27733999,50,20,5,"2018-08-05","2018-08-24",FALSE,FALSE
74,-1101.10864985,50,20,5,"2018-08-05","2018-08-24",TRUE,FALSE
75,-317.815654929998,50,20,5,"2018-08-05","2018-08-24",FALSE,TRUE
76,-130.015654929997,50,20,5,"2018-08-05","2018-08-24",TRUE,TRUE
77,-1313.39299492,50,20,6,"2018-08-06","2018-08-25",FALSE,FALSE
78,-2277.39299492,50,20,6,"2018-08-06","2018-08-25",TRUE,FALSE
79,-181.899999999997,50,20,6,"2018-08-06","2018-08-25",FALSE,TRUE
80,-57.8999999999969,50,20,6,"2018-08-06","2018-08-25",TRUE,TRUE
81,-1254.69299492,50,20,7,"2018-08-07","2018-08-26",FALSE,FALSE
82,-1511.69299492,50,20,7,"2018-08-07","2018-08-26",TRUE,FALSE
83,-259.199999999998,50,20,7,"2018-08-07","2018-08-26",FALSE,TRUE
84,52.6000000000031,50,20,7,"2018-08-07","2018-08-26",TRUE,TRUE
85,-1412.79299492,60,20,1,"2018-08-11","2018-08-30",FALSE,FALSE
86,-71.699999999998,60,20,1,"2018-08-11","2018-08-30",TRUE,FALSE
87,-495.899999999999,60,20,1,"2018-08-11","2018-08-30",FALSE,TRUE
88,-91.0999999999995,60,20,1,"2018-08-11","2018-08-30",TRUE,TRUE
89,-171.592994919998,60,20,2,"2018-08-12","2018-08-31",FALSE,FALSE
90,-376.1,60,20,2,"2018-08-12","2018-08-31",TRUE,FALSE
91,-438.099999999999,60,20,2,"2018-08-12","2018-08-31",FALSE,TRUE
92,154.500000000002,60,20,2,"2018-08-12","2018-08-31",TRUE,TRUE
93,-623.792994920004,60,20,3,"2018-08-13","2018-09-01",FALSE,FALSE
94,-785.192994920002,60,20,3,"2018-08-13","2018-09-01",TRUE,FALSE
95,-259.299999999999,60,20,3,"2018-08-13","2018-09-01",FALSE,TRUE
96,-38.2999999999993,60,20,3,"2018-08-13","2018-09-01",TRUE,TRUE
97,-909.992994920003,60,20,4,"2018-08-14","2018-09-02",FALSE,FALSE
98,-1149.99299492,60,20,4,"2018-08-14","2018-09-02",TRUE,FALSE
99,-795.5,60,20,4,"2018-08-14","2018-09-02",FALSE,TRUE
100,2.30000000000109,60,20,4,"2018-08-14","2018-09-02",TRUE,TRUE
101,-672.292994920002,60,20,5,"2018-08-15","2018-09-03",FALSE,FALSE
102,-839.692994920001,60,20,5,"2018-08-15","2018-09-03",TRUE,FALSE
103,-799.799999999998,60,20,5,"2018-08-15","2018-09-03",FALSE,TRUE
104,-207.199999999998,60,20,5,"2018-08-15","2018-09-03",TRUE,TRUE
105,-499.992994920002,60,20,6,"2018-08-16","2018-09-04",FALSE,FALSE
106,-1176.39299492,60,20,6,"2018-08-16","2018-09-04",TRUE,FALSE
107,-602.099999999998,60,20,6,"2018-08-16","2018-09-04",FALSE,TRUE
108,-174.299999999997,60,20,6,"2018-08-16","2018-09-04",TRUE,TRUE
109,-1109.49299492,60,20,7,"2018-08-17","2018-09-05",FALSE,FALSE
110,-476.09299492,60,20,7,"2018-08-17","2018-09-05",TRUE,FALSE
111,-180.4,60,20,7,"2018-08-17","2018-09-05",FALSE,TRUE
112,230.000000000002,60,20,7,"2018-08-17","2018-09-05",TRUE,TRUE
113,-1111.6,70,20,1,"2018-08-21","2018-09-09",FALSE,FALSE
114,122.600000000002,70,20,1,"2018-08-21","2018-09-09",TRUE,FALSE
115,68.4000000000015,70,20,1,"2018-08-21","2018-09-09",FALSE,TRUE
116,496.200000000003,70,20,1,"2018-08-21","2018-09-09",TRUE,TRUE
117,-521.799999999999,70,20,2,"2018-08-22","2018-09-10",FALSE,FALSE
118,517.000000000002,70,20,2,"2018-08-22","2018-09-10",TRUE,FALSE
119,-79.7999999999993,70,20,2,"2018-08-22","2018-09-10",FALSE,TRUE
120,348.000000000002,70,20,2,"2018-08-22","2018-09-10",TRUE,TRUE
121,-91.5000000000009,70,20,3,"2018-08-23","2018-09-11",FALSE,FALSE
122,734.900000000001,70,20,3,"2018-08-23","2018-09-11",TRUE,FALSE
123,416.3,70,20,3,"2018-08-23","2018-09-11",FALSE,TRUE
124,487.300000000002,70,20,3,"2018-08-23","2018-09-11",TRUE,TRUE
125,215.583278179999,70,20,4,"2018-08-24","2018-09-12",FALSE,FALSE
126,451.383278180002,70,20,4,"2018-08-24","2018-09-12",TRUE,FALSE
127,34.216721820002,70,20,4,"2018-08-24","2018-09-12",FALSE,TRUE
128,609.183278180001,70,20,4,"2018-08-24","2018-09-12",TRUE,TRUE
129,640.56655636,70,20,5,"2018-08-25","2018-09-13",FALSE,FALSE
130,520.16655636,70,20,5,"2018-08-25","2018-09-13",TRUE,FALSE
131,24.4000000000015,70,20,5,"2018-08-25","2018-09-13",FALSE,TRUE
132,394.16655636,70,20,5,"2018-08-25","2018-09-13",TRUE,TRUE
133,442.366556360001,70,20,6,"2018-08-26","2018-09-14",FALSE,FALSE
134,489.76655636,70,20,6,"2018-08-26","2018-09-14",TRUE,FALSE
135,237,70,20,6,"2018-08-26","2018-09-14",FALSE,TRUE
136,647.56655636,70,20,6,"2018-08-26","2018-09-14",TRUE,TRUE
137,650.96655636,70,20,7,"2018-08-27","2018-09-15",FALSE,FALSE
138,786.566556360001,70,20,7,"2018-08-27","2018-09-15",TRUE,FALSE
139,178.400000000001,70,20,7,"2018-08-27","2018-09-15",FALSE,TRUE
140,383.766556359999,70,20,7,"2018-08-27","2018-09-15",TRUE,TRUE
141,-344.699999999999,80,20,1,"2018-08-31","2018-09-19",FALSE,FALSE
142,174.466556360001,80,20,1,"2018-08-31","2018-09-19",TRUE,FALSE
143,-238.66655636,80,20,1,"2018-08-31","2018-09-19",FALSE,TRUE
144,63.4665563600011,80,20,1,"2018-08-31","2018-09-19",TRUE,TRUE
145,-714.507481600001,80,20,2,"2018-09-01","2018-09-20",FALSE,FALSE
146,371.474037960002,80,20,2,"2018-09-01","2018-09-20",TRUE,FALSE
147,356.107481600001,80,20,2,"2018-09-01","2018-09-20",FALSE,TRUE
148,195.074037960002,80,20,2,"2018-09-01","2018-09-20",TRUE,TRUE
149,-370.933443639999,80,20,3,"2018-09-02","2018-09-21",FALSE,FALSE
150,822.466556360001,80,20,3,"2018-09-02","2018-09-21",TRUE,FALSE
151,270.7149632,80,20,3,"2018-09-02","2018-09-21",FALSE,TRUE
152,109.681519560001,80,20,3,"2018-09-02","2018-09-21",TRUE,TRUE
153,-203.414963200001,80,20,4,"2018-09-03","2018-09-22",FALSE,FALSE
154,693.566556360001,80,20,4,"2018-09-03","2018-09-22",TRUE,FALSE
155,230.214963200002,80,20,4,"2018-09-03","2018-09-22",FALSE,TRUE
156,46.1815195600011,80,20,4,"2018-09-03","2018-09-22",TRUE,TRUE
157,120.566556360001,80,20,5,"2018-09-04","2018-09-23",FALSE,FALSE
158,778.166556360001,80,20,5,"2018-09-04","2018-09-23",TRUE,FALSE
159,275.414963200002,80,20,5,"2018-09-04","2018-09-23",FALSE,TRUE
160,91.3815195600009,80,20,5,"2018-09-04","2018-09-23",TRUE,TRUE
161,181.966556360001,80,20,6,"2018-09-05","2018-09-24",FALSE,FALSE
162,678.966556360001,80,20,6,"2018-09-05","2018-09-24",TRUE,FALSE
163,491.414963200001,80,20,6,"2018-09-05","2018-09-24",FALSE,TRUE
164,57.5815195600007,80,20,6,"2018-09-05","2018-09-24",TRUE,TRUE
165,701.766556360001,80,20,7,"2018-09-06","2018-09-25",FALSE,FALSE
166,469.966556360002,80,20,7,"2018-09-06","2018-09-25",TRUE,FALSE
167,-21.1850367999987,80,20,7,"2018-09-06","2018-09-25",FALSE,TRUE
168,-455.018480439999,80,20,7,"2018-09-06","2018-09-25",TRUE,TRUE
169,-547.600000000001,90,20,1,"2018-09-10","2018-09-29",FALSE,FALSE
170,-26.033443639998,90,20,1,"2018-09-10","2018-09-29",TRUE,FALSE
171,-561.75159316,90,20,1,"2018-09-10","2018-09-29",FALSE,TRUE
172,-282.618480440001,90,20,1,"2018-09-10","2018-09-29",TRUE,TRUE
173,-799.1,90,20,2,"2018-09-11","2018-09-30",FALSE,FALSE
174,101.466556360001,90,20,2,"2018-09-11","2018-09-30",TRUE,FALSE
175,-148.485036800001,90,20,2,"2018-09-11","2018-09-30",FALSE,TRUE
176,-658.11848044,90,20,2,"2018-09-11","2018-09-30",TRUE,TRUE
177,306.566556360001,90,20,3,"2018-09-12","2018-10-01",FALSE,FALSE
178,-14.0334436399989,90,20,3,"2018-09-12","2018-10-01",TRUE,FALSE
179,-144.985036800001,90,20,3,"2018-09-12","2018-10-01",FALSE,TRUE
180,-661.61848044,90,20,3,"2018-09-12","2018-10-01",TRUE,TRUE
181,-186.29824138,90,20,4,"2018-09-13","2018-10-02",FALSE,FALSE
182,36.4832781800014,90,20,4,"2018-09-13","2018-10-02",TRUE,FALSE
183,-219.901758620001,90,20,4,"2018-09-13","2018-10-02",FALSE,TRUE
184,-618.70175862,90,20,4,"2018-09-13","2018-10-02",TRUE,TRUE
185,217.200000000002,90,20,5,"2018-09-14","2018-10-03",FALSE,FALSE
186,-78.9999999999991,90,20,5,"2018-09-14","2018-10-03",TRUE,FALSE
187,-400.785036800001,90,20,5,"2018-09-14","2018-10-03",FALSE,TRUE
188,-799.5850368,90,20,5,"2018-09-14","2018-10-03",TRUE,TRUE
189,664.900000000001,90,20,6,"2018-09-15","2018-10-04",FALSE,FALSE
190,-240.499999999998,90,20,6,"2018-09-15","2018-10-04",TRUE,FALSE
191,-304.685036800001,90,20,6,"2018-09-15","2018-10-04",FALSE,TRUE
192,-895.6850368,90,20,6,"2018-09-15","2018-10-04",TRUE,TRUE
193,105.500000000003,90,20,7,"2018-09-16","2018-10-05",FALSE,FALSE
194,-257.299999999998,90,20,7,"2018-09-16","2018-10-05",TRUE,FALSE
195,-321.485036800002,90,20,7,"2018-09-16","2018-10-05",FALSE,TRUE
196,-988.285036799999,90,20,7,"2018-09-16","2018-10-05",TRUE,TRUE
197,-462.300000000001,100,20,1,"2018-09-20","2018-10-09",FALSE,FALSE
198,74.9000000000015,100,20,1,"2018-09-20","2018-10-09",TRUE,FALSE
199,-93.8850368000003,100,20,1,"2018-09-20","2018-10-09",FALSE,TRUE
200,-70.6850368000014,100,20,1,"2018-09-20","2018-10-09",TRUE,TRUE
201,-738.218060879999,100,20,2,"2018-09-21","2018-10-10",FALSE,FALSE
202,50.9669759200006,100,20,2,"2018-09-21","2018-10-10",TRUE,FALSE
203,-163.966975920001,100,20,2,"2018-09-21","2018-10-10",FALSE,TRUE
204,-681.01806088,100,20,2,"2018-09-21","2018-10-10",TRUE,TRUE
205,-264.799999999999,100,20,3,"2018-09-22","2018-10-11",FALSE,FALSE
206,-707.4,100,20,3,"2018-09-22","2018-10-11",TRUE,FALSE
207,-314.94891504,100,20,3,"2018-09-22","2018-10-11",FALSE,TRUE
