"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-588.5,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,-31.1000000000004,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,-1813.5,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,-1033.3,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,-842.6,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,771.199999999997,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,-842.6,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,7.19999999999709,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,-824.400000000001,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,532.199999999998,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,-1240.8,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,48.9999999999973,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,-719,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,946.599999999999,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,-985.599999999999,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,-315.400000000001,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,-1028.58434507,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,1450.58434507,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,-481.615654929999,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,217.784345069999,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,-659.168690140001,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,1110.36869014,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,28.3999999999996,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,612.36869014,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,-153.168690140001,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,1555.16869014,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,393.800000000001,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,1287.56869014,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,-466.668690140002,40,20,1,"2018-07-22","2018-08-10",FALSE,FALSE
30,1879.86869014,40,20,1,"2018-07-22","2018-08-10",TRUE,FALSE
31,-961.3,40,20,1,"2018-07-22","2018-08-10",FALSE,TRUE
32,-406.73130986,40,20,1,"2018-07-22","2018-08-10",TRUE,TRUE
33,-992.068690140002,40,20,2,"2018-07-23","2018-08-11",FALSE,FALSE
34,1968.46869014,40,20,2,"2018-07-23","2018-08-11",TRUE,FALSE
35,-620.068690140002,40,20,2,"2018-07-23","2018-08-11",FALSE,TRUE
36,1770.86869014,40,20,2,"2018-07-23","2018-08-11",TRUE,TRUE
37,-1395.06869014,40,20,3,"2018-07-24","2018-08-12",FALSE,FALSE
38,689.26869014,40,20,3,"2018-07-24","2018-08-12",TRUE,FALSE
39,-1521.06869014,40,20,3,"2018-07-24","2018-08-12",FALSE,TRUE
40,755.66869014,40,20,3,"2018-07-24","2018-08-12",TRUE,TRUE
41,-1307.86869014,40,20,4,"2018-07-25","2018-08-13",FALSE,FALSE
42,957.268690140001,40,20,4,"2018-07-25","2018-08-13",TRUE,FALSE
43,-1189.1,40,20,4,"2018-07-25","2018-08-13",FALSE,TRUE
44,525.668690140001,40,20,4,"2018-07-25","2018-08-13",TRUE,TRUE
45,-1033.36869014,40,20,5,"2018-07-26","2018-08-14",FALSE,FALSE
46,-841.431309860001,40,20,5,"2018-07-26","2018-08-14",TRUE,FALSE
47,-914.6,40,20,5,"2018-07-26","2018-08-14",FALSE,TRUE
48,-595.831309859999,40,20,5,"2018-07-26","2018-08-14",TRUE,TRUE
49,-875.168690140002,40,20,6,"2018-07-27","2018-08-15",FALSE,FALSE
50,-256.631309859999,40,20,6,"2018-07-27","2018-08-15",TRUE,FALSE
51,-594.000000000001,40,20,6,"2018-07-27","2018-08-15",FALSE,TRUE
52,122.168690140002,40,20,6,"2018-07-27","2018-08-15",TRUE,TRUE
53,-1169.56869014,40,20,7,"2018-07-28","2018-08-16",FALSE,FALSE
54,-1657.63130986,40,20,7,"2018-07-28","2018-08-16",TRUE,FALSE
55,-299.6,40,20,7,"2018-07-28","2018-08-16",FALSE,TRUE
56,542.368690140001,40,20,7,"2018-07-28","2018-08-16",TRUE,TRUE
