"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-528.5,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,310.700000000001,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,1228.3,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,720.699999999999,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,-532,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,307.200000000001,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,974.199999999999,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,466.599999999999,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,-432.2,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,407.000000000001,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,1074,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,508.399999999999,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,-577.4,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,261.800000000001,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,1159.2,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,593.599999999999,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,-73.4156549299996,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,571.384345070001,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,655.215654929999,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,903.184345069999,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,296,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,176.800000000001,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,285.799999999999,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,533.768690139999,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,802,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,852.000000000002,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,-389.400000000001,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,1039.76869014,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,557.73130986,40,20,1,"2018-07-22","2018-08-10",FALSE,FALSE
30,1660.5,40,20,1,"2018-07-22","2018-08-10",TRUE,FALSE
31,-672.099999999999,40,20,1,"2018-07-22","2018-08-10",FALSE,TRUE
32,807.468690140001,40,20,1,"2018-07-22","2018-08-10",TRUE,TRUE
33,477.131309859999,40,20,2,"2018-07-23","2018-08-11",FALSE,FALSE
34,1579.9,40,20,2,"2018-07-23","2018-08-11",TRUE,FALSE
35,-752.700000000001,40,20,2,"2018-07-23","2018-08-11",FALSE,TRUE
36,726.86869014,40,20,2,"2018-07-23","2018-08-11",TRUE,TRUE
37,74.1313098599994,40,20,3,"2018-07-24","2018-08-12",FALSE,FALSE
38,1176.9,40,20,3,"2018-07-24","2018-08-12",TRUE,FALSE
39,-511.3,40,20,3,"2018-07-24","2018-08-12",FALSE,TRUE
40,968.26869014,40,20,3,"2018-07-24","2018-08-12",TRUE,TRUE
41,-534.06869014,40,20,4,"2018-07-25","2018-08-13",FALSE,FALSE
42,568.700000000003,40,20,4,"2018-07-25","2018-08-13",TRUE,FALSE
43,-1119.5,40,20,4,"2018-07-25","2018-08-13",FALSE,TRUE
44,360.06869014,40,20,4,"2018-07-25","2018-08-13",TRUE,TRUE
45,-259.56869014,40,20,5,"2018-07-26","2018-08-14",FALSE,FALSE
46,420.000000000002,40,20,5,"2018-07-26","2018-08-14",TRUE,FALSE
47,-845,40,20,5,"2018-07-26","2018-08-14",FALSE,TRUE
48,634.56869014,40,20,5,"2018-07-26","2018-08-14",TRUE,TRUE
49,-101.368690140001,40,20,6,"2018-07-27","2018-08-15",FALSE,FALSE
50,578.200000000002,40,20,6,"2018-07-27","2018-08-15",TRUE,FALSE
51,-1003.2,40,20,6,"2018-07-27","2018-08-15",FALSE,TRUE
52,476.368690140001,40,20,6,"2018-07-27","2018-08-15",TRUE,TRUE
53,-395.768690140001,40,20,7,"2018-07-28","2018-08-16",FALSE,FALSE
54,283.800000000001,40,20,7,"2018-07-28","2018-08-16",TRUE,FALSE
55,-799.6,40,20,7,"2018-07-28","2018-08-16",FALSE,TRUE
56,679.96869014,40,20,7,"2018-07-28","2018-08-16",TRUE,TRUE
57,-515.661685060001,50,20,1,"2018-08-01","2018-08-20",FALSE,FALSE
58,627.475695220003,50,20,1,"2018-08-01","2018-08-20",TRUE,FALSE
59,-1036.49299492,50,20,1,"2018-08-01","2018-08-20",FALSE,TRUE
60,-67.6313098599994,50,20,1,"2018-08-01","2018-08-20",TRUE,TRUE
61,-613.561685060002,50,20,2,"2018-08-02","2018-08-21",FALSE,FALSE
62,278.975695220002,50,20,2,"2018-08-02","2018-08-21",TRUE,FALSE
63,-687.99299492,50,20,2,"2018-08-02","2018-08-21",FALSE,TRUE
64,280.868690140001,50,20,2,"2018-08-02","2018-08-21",TRUE,TRUE
65,-427.461685060001,50,20,3,"2018-08-03","2018-08-22",FALSE,FALSE
66,92.8756952200019,50,20,3,"2018-08-03","2018-08-22",TRUE,FALSE
67,-874.09299492,50,20,3,"2018-08-03","2018-08-22",FALSE,TRUE
68,94.7686901400011,50,20,3,"2018-08-03","2018-08-22",TRUE,TRUE
69,-475.661685060001,50,20,4,"2018-08-04","2018-08-23",FALSE,FALSE
70,44.6756952200021,50,20,4,"2018-08-04","2018-08-23",TRUE,FALSE
71,-1152.69299492,50,20,4,"2018-08-04","2018-08-23",FALSE,TRUE
72,46.5686901400013,50,20,4,"2018-08-04","2018-08-23",TRUE,TRUE
73,97.5226600099995,50,20,5,"2018-08-05","2018-08-24",FALSE,FALSE
74,-195.708649849998,50,20,5,"2018-08-05","2018-08-24",TRUE,FALSE
75,-579.508649849999,50,20,5,"2018-08-05","2018-08-24",FALSE,TRUE
76,-193.815654929998,50,20,5,"2018-08-05","2018-08-24",TRUE,TRUE
77,149.407005079999,50,20,6,"2018-08-06","2018-08-25",FALSE,FALSE
78,-168.992994919999,50,20,6,"2018-08-06","2018-08-25",TRUE,FALSE
79,-631.392994919998,50,20,6,"2018-08-06","2018-08-25",FALSE,TRUE
80,-245.699999999998,50,20,6,"2018-08-06","2018-08-25",TRUE,TRUE
81,208.10700508,50,20,7,"2018-08-07","2018-08-26",FALSE,FALSE
82,-279.492994919999,50,20,7,"2018-08-07","2018-08-26",TRUE,FALSE
83,-520.892994919998,50,20,7,"2018-08-07","2018-08-26",FALSE,TRUE
84,-135.199999999998,50,20,7,"2018-08-07","2018-08-26",TRUE,TRUE
85,-640.192994920001,60,20,1,"2018-08-11","2018-08-30",FALSE,FALSE
86,-119.592994919999,60,20,1,"2018-08-11","2018-08-30",TRUE,FALSE
87,125.900000000001,60,20,1,"2018-08-11","2018-08-30",FALSE,TRUE
88,437.700000000002,60,20,1,"2018-08-11","2018-08-30",TRUE,TRUE
89,-525.19299492,60,20,2,"2018-08-12","2018-08-31",FALSE,FALSE
90,-4.59299491999809,60,20,2,"2018-08-12","2018-08-31",TRUE,FALSE
91,183.700000000001,60,20,2,"2018-08-12","2018-08-31",FALSE,TRUE
92,495.500000000002,60,20,2,"2018-08-12","2018-08-31",TRUE,TRUE
93,-261.592994920002,60,20,3,"2018-08-13","2018-09-01",FALSE,FALSE
94,-106.592994919998,60,20,3,"2018-08-13","2018-09-01",TRUE,FALSE
95,447.299999999999,60,20,3,"2018-08-13","2018-09-01",FALSE,TRUE
96,393.500000000002,60,20,3,"2018-08-13","2018-09-01",TRUE,TRUE
97,-220.992994920001,60,20,4,"2018-08-14","2018-09-02",FALSE,FALSE
98,-65.9929949199977,60,20,4,"2018-08-14","2018-09-02",TRUE,FALSE
99,611.9,60,20,4,"2018-08-14","2018-09-02",FALSE,TRUE
100,434.100000000002,60,20,4,"2018-08-14","2018-09-02",TRUE,TRUE
101,-316.092994920001,60,20,5,"2018-08-15","2018-09-03",FALSE,FALSE
102,-161.092994919997,60,20,5,"2018-08-15","2018-09-03",TRUE,FALSE
103,516.8,60,20,5,"2018-08-15","2018-09-03",FALSE,TRUE
104,339.000000000003,60,20,5,"2018-08-15","2018-09-03",TRUE,TRUE
105,-143.792994920002,60,20,6,"2018-08-16","2018-09-04",FALSE,FALSE
106,11.2070050800021,60,20,6,"2018-08-16","2018-09-04",TRUE,FALSE
107,526.7,60,20,6,"2018-08-16","2018-09-04",FALSE,TRUE
108,348.900000000002,60,20,6,"2018-08-16","2018-09-04",TRUE,TRUE
109,-753.292994920001,60,20,7,"2018-08-17","2018-09-05",FALSE,FALSE
110,-598.292994919997,60,20,7,"2018-08-17","2018-09-05",TRUE,FALSE
111,-173.6,60,20,7,"2018-08-17","2018-09-05",FALSE,TRUE
112,-351.399999999998,60,20,7,"2018-08-17","2018-09-05",TRUE,TRUE
113,363.599999999999,70,20,1,"2018-08-21","2018-09-09",FALSE,FALSE
114,-798.799999999997,70,20,1,"2018-08-21","2018-09-09",TRUE,FALSE
115,-1241.4,70,20,1,"2018-08-21","2018-09-09",FALSE,TRUE
116,-393.199999999997,70,20,1,"2018-08-21","2018-09-09",TRUE,TRUE
117,661.799999999999,70,20,2,"2018-08-22","2018-09-10",FALSE,FALSE
118,-500.599999999997,70,20,2,"2018-08-22","2018-09-10",TRUE,FALSE
119,-1389.6,70,20,2,"2018-08-22","2018-09-10",FALSE,TRUE
120,-691.399999999998,70,20,2,"2018-08-22","2018-09-10",TRUE,TRUE
121,522.499999999999,70,20,3,"2018-08-23","2018-09-11",FALSE,FALSE
122,-361.299999999997,70,20,3,"2018-08-23","2018-09-11",TRUE,FALSE
123,-1298.3,70,20,3,"2018-08-23","2018-09-11",FALSE,TRUE
124,-552.099999999998,70,20,3,"2018-08-23","2018-09-11",TRUE,TRUE
125,317.583278179999,70,20,4,"2018-08-24","2018-09-12",FALSE,FALSE
126,-566.216721819997,70,20,4,"2018-08-24","2018-09-12",TRUE,FALSE
127,-1093.38327818,70,20,4,"2018-08-24","2018-09-12",FALSE,TRUE
128,-430.216721819998,70,20,4,"2018-08-24","2018-09-12",TRUE,TRUE
129,640.56655636,70,20,5,"2018-08-25","2018-09-13",FALSE,FALSE
130,-576.033443639997,70,20,5,"2018-08-25","2018-09-13",TRUE,FALSE
131,-1103.2,70,20,5,"2018-08-25","2018-09-13",FALSE,TRUE
132,-440.033443639999,70,20,5,"2018-08-25","2018-09-13",TRUE,TRUE
133,592.366556360001,70,20,6,"2018-08-26","2018-09-14",FALSE,FALSE
134,-606.433443639997,70,20,6,"2018-08-26","2018-09-14",TRUE,FALSE
135,-1072.8,70,20,6,"2018-08-26","2018-09-14",FALSE,TRUE
136,-391.83344364,70,20,6,"2018-08-26","2018-09-14",TRUE,TRUE
137,585.566556360001,70,20,7,"2018-08-27","2018-09-15",FALSE,FALSE
138,-547.833443639997,70,20,7,"2018-08-27","2018-09-15",TRUE,FALSE
139,-1131.4,70,20,7,"2018-08-27","2018-09-15",FALSE,TRUE
140,-450.433443639999,70,20,7,"2018-08-27","2018-09-15",TRUE,TRUE
141,426.06655636,80,20,1,"2018-08-31","2018-09-19",FALSE,FALSE
142,478.066556360001,80,20,1,"2018-08-31","2018-09-19",TRUE,FALSE
143,-124.499999999998,80,20,1,"2018-08-31","2018-09-19",FALSE,TRUE
144,174.466556360001,80,20,1,"2018-08-31","2018-09-19",TRUE,TRUE
145,500.47403796,80,20,2,"2018-09-01","2018-09-20",FALSE,FALSE
146,609.674037960002,80,20,2,"2018-09-01","2018-09-20",TRUE,FALSE
147,7.10748160000276,80,20,2,"2018-09-01","2018-09-20",FALSE,TRUE
148,306.074037960002,80,20,2,"2018-09-01","2018-09-20",TRUE,TRUE
149,585.866556360001,80,20,3,"2018-09-02","2018-09-21",FALSE,FALSE
150,1060.66655636,80,20,3,"2018-09-02","2018-09-21",TRUE,FALSE
151,-78.2850367999981,80,20,3,"2018-09-02","2018-09-21",FALSE,TRUE
152,757.066556360001,80,20,3,"2018-09-02","2018-09-21",TRUE,TRUE
