"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,-604.700000000001,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-881.099999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,-712.900000000001,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,-2920.7,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,-1209.2,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-1462.6,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,-1317.4,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-3525.2,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-1136.29999999999,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-1157.69999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,-1244.49999999999,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-3220.29999999999,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-1782.35955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-1803.75955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-1890.55955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-3866.35955158999,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-1435.6,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-1457,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-1543.8,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-3519.6,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-1260,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-1477.4,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-1368.2,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-3344,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,-264.12312438,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-481.523124379998,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,-372.323124380001,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
