"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,606.5,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-247.900000000001,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,606.5,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,132.299999999999,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,25,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-997,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,-194,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-704.200000000001,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,-697.099999999989,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-692.099999999989,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,1315.89999999999,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,444.099999999989,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-2554.35955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-3804.95955159001,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-2554.35955158999,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-201.959551590011,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-5018.60000000002,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-2565.6,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-5835.80000000002,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-3660.99999999998,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-2042,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-1099,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-2588.60000000002,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-2436.59999999998,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,-406.323124380001,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1540.92312438004,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,-3737.67687562,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
28,-3584.52312438,30,20,7,"2018-03-07","2018-03-26",TRUE,TRUE
29,1020.1,40,20,1,"2018-03-11","2018-03-30",FALSE,FALSE
30,2430.29999999998,40,20,1,"2018-03-11","2018-03-30",TRUE,FALSE
31,1175.3,40,20,1,"2018-03-11","2018-03-30",FALSE,TRUE
32,2275.69999999998,40,20,1,"2018-03-11","2018-03-30",TRUE,TRUE
33,2602.30000000001,40,20,2,"2018-03-12","2018-03-31",FALSE,FALSE
34,3673.90000000001,40,20,2,"2018-03-12","2018-03-31",TRUE,FALSE
35,2383.30000000001,40,20,2,"2018-03-12","2018-03-31",FALSE,TRUE
36,2845.50000000003,40,20,2,"2018-03-12","2018-03-31",TRUE,TRUE
37,2313.6,40,20,3,"2018-03-13","2018-04-01",FALSE,FALSE
38,3167.60000000002,40,20,3,"2018-03-13","2018-04-01",TRUE,FALSE
39,1559.4,40,20,3,"2018-03-13","2018-04-01",FALSE,TRUE
40,2179,40,20,3,"2018-03-13","2018-04-01",TRUE,TRUE
41,2081.9,40,20,4,"2018-03-14","2018-04-02",FALSE,FALSE
42,1165.70000000002,40,20,4,"2018-03-14","2018-04-02",TRUE,FALSE
43,2081.9,40,20,4,"2018-03-14","2018-04-02",FALSE,TRUE
44,2683.3,40,20,4,"2018-03-14","2018-04-02",TRUE,TRUE
45,615.199999999999,40,20,5,"2018-03-15","2018-04-03",FALSE,FALSE
46,1772.60000000002,40,20,5,"2018-03-15","2018-04-03",TRUE,FALSE
47,-1398.15375123998,40,20,5,"2018-03-15","2018-04-03",FALSE,TRUE
48,1777.35375124006,40,20,5,"2018-03-15","2018-04-03",TRUE,TRUE
49,1464.1,40,20,6,"2018-03-16","2018-04-04",FALSE,FALSE
50,1463.9,40,20,6,"2018-03-16","2018-04-04",TRUE,FALSE
51,-2416.65375123998,40,20,6,"2018-03-16","2018-04-04",FALSE,TRUE
52,1333.25375124004,40,20,6,"2018-03-16","2018-04-04",TRUE,TRUE
53,1325.8,40,20,7,"2018-03-17","2018-04-05",FALSE,FALSE
54,1405.99999999998,40,20,7,"2018-03-17","2018-04-05",TRUE,FALSE
55,-541.153751240001,40,20,7,"2018-03-17","2018-04-05",FALSE,TRUE
56,-165.99999999998,40,20,7,"2018-03-17","2018-04-05",TRUE,TRUE
57,1220.2,50,20,1,"2018-03-21","2018-04-09",FALSE,FALSE
58,2414.79999999998,50,20,1,"2018-03-21","2018-04-09",TRUE,FALSE
59,-371.39999999998,50,20,1,"2018-03-21","2018-04-09",FALSE,TRUE
60,1696.99999999998,50,20,1,"2018-03-21","2018-04-09",TRUE,TRUE
61,2051.1,50,20,2,"2018-03-22","2018-04-10",FALSE,FALSE
