profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs,,47243.06955
1,-604.7,30,20,1,3/1/2018,3/20/2018,FALSE,FALSE,,
2,-881.1,30,20,1,3/1/2018,3/20/2018,TRUE,FALSE,,
3,-712.9,30,20,1,3/1/2018,3/20/2018,FALSE,TRUE,,
4,-2920.7,30,20,1,3/1/2018,3/20/2018,TRUE,TRUE,,
5,-1209.2,30,20,2,3/2/2018,3/21/2018,FALSE,FALSE,,
6,-1462.6,30,20,2,3/2/2018,3/21/2018,TRUE,FALSE,,
7,-1317.4,30,20,2,3/2/2018,3/21/2018,FALSE,TRUE,,
8,-3525.2,30,20,2,3/2/2018,3/21/2018,TRUE,TRUE,,
9,-1136.3,30,20,3,3/3/2018,3/22/2018,FALSE,FALSE,,
10,-1157.7,30,20,3,3/3/2018,3/22/2018,TRUE,FALSE,,
11,-1244.5,30,20,3,3/3/2018,3/22/2018,FALSE,TRUE,,
12,-3220.3,30,20,3,3/3/2018,3/22/2018,TRUE,TRUE,,
13,-1782.359552,30,20,4,3/4/2018,3/23/2018,FALSE,FALSE,,
14,-1803.759552,30,20,4,3/4/2018,3/23/2018,TRUE,FALSE,,
15,-1890.559552,30,20,4,3/4/2018,3/23/2018,FALSE,TRUE,,
16,-3866.359552,30,20,4,3/4/2018,3/23/2018,TRUE,TRUE,,
17,-1435.6,30,20,5,3/5/2018,3/24/2018,FALSE,FALSE,,
18,-1457,30,20,5,3/5/2018,3/24/2018,TRUE,FALSE,,
19,-1543.8,30,20,5,3/5/2018,3/24/2018,FALSE,TRUE,,
20,-3519.6,30,20,5,3/5/2018,3/24/2018,TRUE,TRUE,,
21,-1260,30,20,6,3/6/2018,3/25/2018,FALSE,FALSE,,
22,-1477.4,30,20,6,3/6/2018,3/25/2018,TRUE,FALSE,,
23,-1368.2,30,20,6,3/6/2018,3/25/2018,FALSE,TRUE,,
24,-3344,30,20,6,3/6/2018,3/25/2018,TRUE,TRUE,,
25,-264.1231244,30,20,7,3/7/2018,3/26/2018,FALSE,FALSE,,
26,-481.5231244,30,20,7,3/7/2018,3/26/2018,TRUE,FALSE,,
27,-372.3231244,30,20,7,3/7/2018,3/26/2018,FALSE,TRUE,,
28,-2348.123124,30,20,7,3/7/2018,3/26/2018,TRUE,TRUE,,
29,1929.5,40,20,1,3/11/2018,3/30/2018,FALSE,FALSE,,
30,660.1,40,20,1,3/11/2018,3/30/2018,TRUE,FALSE,,
31,697.1,40,20,1,3/11/2018,3/30/2018,FALSE,TRUE,,
32,1465.7,40,20,1,3/11/2018,3/30/2018,TRUE,TRUE,,
33,2602.3,40,20,2,3/12/2018,3/31/2018,FALSE,FALSE,,
34,1502.9,40,20,2,3/12/2018,3/31/2018,TRUE,FALSE,,
