"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,2256.7,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,1406.3,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,2116.1,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,833.099999999999,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,2253.2,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,1402.8,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,2112.6,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,829.599999999999,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,2295,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,1444.6,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,2154.4,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,871.399999999999,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,2440.2,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,1589.8,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,2299.6,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,1016.6,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,2944.18434507,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,1899.38434507,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,2803.58434507,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,1520.58434507,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,2549.6,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,1504.8,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,2409,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,1126,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,2043.6,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,998.799999999999,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,1733.8,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,619.999999999998,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,1772.4,33,20,1,"2018-07-15","2018-08-03",FALSE,FALSE
30,1428.2,33,20,1,"2018-07-15","2018-08-03",TRUE,FALSE
31,1157.2,33,20,1,"2018-07-15","2018-08-03",FALSE,TRUE
32,1005,33,20,1,"2018-07-15","2018-08-03",TRUE,TRUE
33,2276.38434507,33,20,2,"2018-07-16","2018-08-04",FALSE,FALSE
34,1932.18434507,33,20,2,"2018-07-16","2018-08-04",TRUE,FALSE
35,1661.18434507,33,20,2,"2018-07-16","2018-08-04",FALSE,TRUE
36,1508.98434507,33,20,2,"2018-07-16","2018-08-04",TRUE,TRUE
37,1881.8,33,20,3,"2018-07-17","2018-08-05",FALSE,FALSE
38,1537.6,33,20,3,"2018-07-17","2018-08-05",TRUE,FALSE
39,1266.6,33,20,3,"2018-07-17","2018-08-05",FALSE,TRUE
40,1114.4,33,20,3,"2018-07-17","2018-08-05",TRUE,TRUE
41,1375.8,33,20,4,"2018-07-18","2018-08-06",FALSE,FALSE
42,1031.6,33,20,4,"2018-07-18","2018-08-06",TRUE,FALSE
43,591.4,33,20,4,"2018-07-18","2018-08-06",FALSE,TRUE
44,608.4,33,20,4,"2018-07-18","2018-08-06",TRUE,TRUE
45,1538.6,33,20,5,"2018-07-19","2018-08-07",FALSE,FALSE
46,1194.4,33,20,5,"2018-07-19","2018-08-07",TRUE,FALSE
47,754.2,33,20,5,"2018-07-19","2018-08-07",FALSE,TRUE
48,326.400000000001,33,20,5,"2018-07-19","2018-08-07",TRUE,TRUE
49,1882.6,33,20,6,"2018-07-20","2018-08-08",FALSE,FALSE
50,1538.4,33,20,6,"2018-07-20","2018-08-08",TRUE,FALSE
51,1098.2,33,20,6,"2018-07-20","2018-08-08",FALSE,TRUE
52,670.400000000001,33,20,6,"2018-07-20","2018-08-08",TRUE,TRUE
53,1770.1,33,20,7,"2018-07-21","2018-08-09",FALSE,FALSE
54,1425.9,33,20,7,"2018-07-21","2018-08-09",TRUE,FALSE
55,985.699999999999,33,20,7,"2018-07-21","2018-08-09",FALSE,TRUE
56,557.9,33,20,7,"2018-07-21","2018-08-09",TRUE,TRUE
57,1516.4,36,20,1,"2018-07-18","2018-08-06",FALSE,FALSE
58,1529.6,36,20,1,"2018-07-18","2018-08-06",TRUE,FALSE
59,562.199999999999,36,20,1,"2018-07-18","2018-08-06",FALSE,TRUE
60,608.4,36,20,1,"2018-07-18","2018-08-06",TRUE,TRUE
61,1679.2,36,20,2,"2018-07-19","2018-08-07",FALSE,FALSE
62,1247.6,36,20,2,"2018-07-19","2018-08-07",TRUE,FALSE
63,724.999999999999,36,20,2,"2018-07-19","2018-08-07",FALSE,TRUE
64,326.400000000001,36,20,2,"2018-07-19","2018-08-07",TRUE,TRUE
65,2023.2,36,20,3,"2018-07-20","2018-08-08",FALSE,FALSE
66,1591.6,36,20,3,"2018-07-20","2018-08-08",TRUE,FALSE
