"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,1729.5,30,20,1,"2018-07-12","2018-07-31",FALSE,FALSE
2,1742.7,30,20,1,"2018-07-12","2018-07-31",TRUE,FALSE
3,973.700000000001,30,20,1,"2018-07-12","2018-07-31",FALSE,TRUE
4,36.5000000000018,30,20,1,"2018-07-12","2018-07-31",TRUE,TRUE
5,1726,30,20,2,"2018-07-13","2018-08-01",FALSE,FALSE
6,1750.8,30,20,2,"2018-07-13","2018-08-01",TRUE,FALSE
7,718.200000000001,30,20,2,"2018-07-13","2018-08-01",FALSE,TRUE
8,829.599999999999,30,20,2,"2018-07-13","2018-08-01",TRUE,TRUE
9,1767.8,30,20,3,"2018-07-14","2018-08-02",FALSE,FALSE
10,1867.8,30,20,3,"2018-07-14","2018-08-02",TRUE,FALSE
11,1012,30,20,3,"2018-07-14","2018-08-02",FALSE,TRUE
12,871.399999999999,30,20,3,"2018-07-14","2018-08-02",TRUE,TRUE
13,1913,30,20,4,"2018-07-15","2018-08-03",FALSE,FALSE
14,2120.6,30,20,4,"2018-07-15","2018-08-03",TRUE,FALSE
15,1157.2,30,20,4,"2018-07-15","2018-08-03",FALSE,TRUE
16,1005,30,20,4,"2018-07-15","2018-08-03",TRUE,TRUE
17,2416.98434507,30,20,5,"2018-07-16","2018-08-04",FALSE,FALSE
18,2310.98434507,30,20,5,"2018-07-16","2018-08-04",TRUE,FALSE
19,1661.18434507,30,20,5,"2018-07-16","2018-08-04",FALSE,TRUE
20,1508.98434507,30,20,5,"2018-07-16","2018-08-04",TRUE,TRUE
21,2022.4,30,20,6,"2018-07-17","2018-08-05",FALSE,FALSE
22,1916.4,30,20,6,"2018-07-17","2018-08-05",TRUE,FALSE
23,1266.6,30,20,6,"2018-07-17","2018-08-05",FALSE,TRUE
24,1114.4,30,20,6,"2018-07-17","2018-08-05",TRUE,TRUE
25,1375.8,30,20,7,"2018-07-18","2018-08-06",FALSE,FALSE
26,1410.4,30,20,7,"2018-07-18","2018-08-06",TRUE,FALSE
27,760.6,30,20,7,"2018-07-18","2018-08-06",FALSE,TRUE
28,608.4,30,20,7,"2018-07-18","2018-08-06",TRUE,TRUE
29,2227.3,40,20,1,"2018-07-22","2018-08-10",FALSE,FALSE
30,1795.7,40,20,1,"2018-07-22","2018-08-10",TRUE,FALSE
31,838.299999999998,40,20,1,"2018-07-22","2018-08-10",FALSE,TRUE
32,-815.3,40,20,1,"2018-07-22","2018-08-10",TRUE,TRUE
33,2135.1,40,20,2,"2018-07-23","2018-08-11",FALSE,FALSE
34,1715.1,40,20,2,"2018-07-23","2018-08-11",TRUE,FALSE
35,494.099999999999,40,20,2,"2018-07-23","2018-08-11",FALSE,TRUE
36,-82.3000000000011,40,20,2,"2018-07-23","2018-08-11",TRUE,TRUE
37,1732.1,40,20,3,"2018-07-24","2018-08-12",FALSE,FALSE
38,1312.1,40,20,3,"2018-07-24","2018-08-12",TRUE,FALSE
39,1149.1,40,20,3,"2018-07-24","2018-08-12",FALSE,TRUE
40,-298.531309860001,40,20,3,"2018-07-24","2018-08-12",TRUE,TRUE
41,1123.9,40,20,4,"2018-07-25","2018-08-13",FALSE,FALSE
42,703.900000000001,40,20,4,"2018-07-25","2018-08-13",TRUE,FALSE
43,540.899999999998,40,20,4,"2018-07-25","2018-08-13",FALSE,TRUE
44,-55.7000000000007,40,20,4,"2018-07-25","2018-08-13",TRUE,TRUE
45,1272.6,40,20,5,"2018-07-26","2018-08-14",FALSE,FALSE
46,-446.799999999999,40,20,5,"2018-07-26","2018-08-14",TRUE,FALSE
47,815.399999999998,40,20,5,"2018-07-26","2018-08-14",FALSE,TRUE
48,-783.200000000001,40,20,5,"2018-07-26","2018-08-14",TRUE,TRUE
49,1430.8,40,20,6,"2018-07-27","2018-08-15",FALSE,FALSE
50,587.600000000001,40,20,6,"2018-07-27","2018-08-15",TRUE,FALSE
51,1136,40,20,6,"2018-07-27","2018-08-15",FALSE,TRUE
52,413.599999999999,40,20,6,"2018-07-27","2018-08-15",TRUE,TRUE
53,1634.4,40,20,7,"2018-07-28","2018-08-16",FALSE,FALSE
54,293.200000000001,40,20,7,"2018-07-28","2018-08-16",TRUE,FALSE
55,1430.4,40,20,7,"2018-07-28","2018-08-16",FALSE,TRUE
56,833.799999999999,40,20,7,"2018-07-28","2018-08-16",TRUE,TRUE
57,1230.2,50,20,1,"2018-08-01","2018-08-20",FALSE,FALSE
58,248.507005080001,50,20,1,"2018-08-01","2018-08-20",TRUE,FALSE
59,809.199999999996,50,20,1,"2018-08-01","2018-08-20",FALSE,TRUE
60,92.7999999999965,50,20,1,"2018-08-01","2018-08-20",TRUE,TRUE
61,881.699999999999,50,20,2,"2018-08-02","2018-08-21",FALSE,FALSE
62,-99.9929949199995,50,20,2,"2018-08-02","2018-08-21",TRUE,FALSE
63,460.699999999995,50,20,2,"2018-08-02","2018-08-21",FALSE,TRUE
64,234.099999999999,50,20,2,"2018-08-02","2018-08-21",TRUE,TRUE
65,926.199999999999,50,20,3,"2018-08-03","2018-08-22",FALSE,FALSE
66,-55.4929949199995,50,20,3,"2018-08-03","2018-08-22",TRUE,FALSE
67,274.599999999995,50,20,3,"2018-08-03","2018-08-22",FALSE,TRUE
68,386.768690139999,50,20,3,"2018-08-03","2018-08-22",TRUE,TRUE
69,974.399999999999,50,20,4,"2018-08-04","2018-08-23",FALSE,FALSE
70,-7.29299491999973,50,20,4,"2018-08-04","2018-08-23",TRUE,FALSE
71,322.799999999995,50,20,4,"2018-08-04","2018-08-23",FALSE,TRUE
72,1286,50,20,4,"2018-08-04","2018-08-23",TRUE,TRUE
73,407.21565493,50,20,5,"2018-08-05","2018-08-24",FALSE,FALSE
74,-1450.67733999,50,20,5,"2018-08-05","2018-08-24",TRUE,FALSE
75,82.4156549299951,50,20,5,"2018-08-05","2018-08-24",FALSE,TRUE
76,43.6156549299994,50,20,5,"2018-08-05","2018-08-24",TRUE,TRUE
77,459.099999999999,50,20,6,"2018-08-06","2018-08-25",FALSE,FALSE
78,-753.192994919999,50,20,6,"2018-08-06","2018-08-25",TRUE,FALSE
79,55.6999999999962,50,20,6,"2018-08-06","2018-08-25",FALSE,TRUE
80,705.3,50,20,6,"2018-08-06","2018-08-25",TRUE,TRUE
81,117.999999999999,50,20,7,"2018-08-07","2018-08-26",FALSE,FALSE
82,-863.692994919999,50,20,7,"2018-08-07","2018-08-26",TRUE,FALSE
83,23.7999999999947,50,20,7,"2018-08-07","2018-08-26",FALSE,TRUE
84,986.999999999999,50,20,7,"2018-08-07","2018-08-26",TRUE,TRUE
85,159.899999999999,60,20,1,"2018-08-11","2018-08-30",FALSE,FALSE
