profit_dfs_nr,profit,arima_size,forecast_days,window_week_start_day,first_forecast_date,last_forecast_date,twitter_sent_regs,btc_tec_regs
1,2256.7,30,20,1,7/12/2018,7/31/2018,FALSE,FALSE
2,1406.3,30,20,1,7/12/2018,7/31/2018,TRUE,FALSE
3,2116.1,30,20,1,7/12/2018,7/31/2018,FALSE,TRUE
4,833.1,30,20,1,7/12/2018,7/31/2018,TRUE,TRUE
5,2253.2,30,20,2,7/13/2018,8/1/2018,FALSE,FALSE
6,1402.8,30,20,2,7/13/2018,8/1/2018,TRUE,FALSE
7,2112.6,30,20,2,7/13/2018,8/1/2018,FALSE,TRUE
8,829.6,30,20,2,7/13/2018,8/1/2018,TRUE,TRUE
9,2295,30,20,3,7/14/2018,8/2/2018,FALSE,FALSE
10,1444.6,30,20,3,7/14/2018,8/2/2018,TRUE,FALSE
11,2154.4,30,20,3,7/14/2018,8/2/2018,FALSE,TRUE
12,871.4,30,20,3,7/14/2018,8/2/2018,TRUE,TRUE
13,2440.2,30,20,4,7/15/2018,8/3/2018,FALSE,FALSE
14,1589.8,30,20,4,7/15/2018,8/3/2018,TRUE,FALSE
15,2299.6,30,20,4,7/15/2018,8/3/2018,FALSE,TRUE
16,1016.6,30,20,4,7/15/2018,8/3/2018,TRUE,TRUE
17,2944.184345,30,20,5,7/16/2018,8/4/2018,FALSE,FALSE
18,1899.384345,30,20,5,7/16/2018,8/4/2018,TRUE,FALSE
19,2803.584345,30,20,5,7/16/2018,8/4/2018,FALSE,TRUE
20,1520.584345,30,20,5,7/16/2018,8/4/2018,TRUE,TRUE
21,2549.6,30,20,6,7/17/2018,8/5/2018,FALSE,FALSE
22,1504.8,30,20,6,7/17/2018,8/5/2018,TRUE,FALSE
23,2409,30,20,6,7/17/2018,8/5/2018,FALSE,TRUE
24,1126,30,20,6,7/17/2018,8/5/2018,TRUE,TRUE
25,2043.6,30,20,7,7/18/2018,8/6/2018,FALSE,FALSE
26,998.8,30,20,7,7/18/2018,8/6/2018,TRUE,FALSE
27,1733.8,30,20,7,7/18/2018,8/6/2018,FALSE,TRUE
28,620,30,20,7,7/18/2018,8/6/2018,TRUE,TRUE
29,2227.3,40,20,1,7/22/2018,8/10/2018,FALSE,FALSE
30,1795.7,40,20,1,7/22/2018,8/10/2018,TRUE,FALSE
31,1482.7,40,20,1,7/22/2018,8/10/2018,FALSE,TRUE
32,100.7,40,20,1,7/22/2018,8/10/2018,TRUE,TRUE
