"profit_dfs_nr","profit","arima_size","forecast_days","window_week_start_day","first_forecast_date","last_forecast_date","twitter_sent_regs","btc_tec_regs"
1,915.899999999998,30,20,1,"2018-03-01","2018-03-20",FALSE,FALSE
2,-1374.7,30,20,1,"2018-03-01","2018-03-20",TRUE,FALSE
3,915.899999999998,30,20,1,"2018-03-01","2018-03-20",FALSE,TRUE
4,-1374.9,30,20,1,"2018-03-01","2018-03-20",TRUE,TRUE
5,311.399999999998,30,20,2,"2018-03-02","2018-03-21",FALSE,FALSE
6,-1979.2,30,20,2,"2018-03-02","2018-03-21",TRUE,FALSE
7,311.399999999998,30,20,2,"2018-03-02","2018-03-21",FALSE,TRUE
8,-1979.4,30,20,2,"2018-03-02","2018-03-21",TRUE,TRUE
9,6.49999999998727,30,20,3,"2018-03-03","2018-03-22",FALSE,FALSE
10,-2284.10000000001,30,20,3,"2018-03-03","2018-03-22",TRUE,FALSE
11,6.49999999998727,30,20,3,"2018-03-03","2018-03-22",FALSE,TRUE
12,-2284.30000000001,30,20,3,"2018-03-03","2018-03-22",TRUE,TRUE
13,-639.559551590013,30,20,4,"2018-03-04","2018-03-23",FALSE,FALSE
14,-2930.15955159001,30,20,4,"2018-03-04","2018-03-23",TRUE,FALSE
15,-639.559551590013,30,20,4,"2018-03-04","2018-03-23",FALSE,TRUE
16,-2930.35955159001,30,20,4,"2018-03-04","2018-03-23",TRUE,TRUE
17,-292.800000000023,30,20,5,"2018-03-05","2018-03-24",FALSE,FALSE
18,-2583.40000000002,30,20,5,"2018-03-05","2018-03-24",TRUE,FALSE
19,-1076.4,30,20,5,"2018-03-05","2018-03-24",FALSE,TRUE
20,-2583.60000000002,30,20,5,"2018-03-05","2018-03-24",TRUE,TRUE
21,-117.200000000023,30,20,6,"2018-03-06","2018-03-25",FALSE,FALSE
22,-2407.80000000002,30,20,6,"2018-03-06","2018-03-25",TRUE,FALSE
23,-900.800000000003,30,20,6,"2018-03-06","2018-03-25",FALSE,TRUE
24,-2408.00000000002,30,20,6,"2018-03-06","2018-03-25",TRUE,TRUE
25,878.676875619977,30,20,7,"2018-03-07","2018-03-26",FALSE,FALSE
26,-1411.92312438002,30,20,7,"2018-03-07","2018-03-26",TRUE,FALSE
27,95.0768756199968,30,20,7,"2018-03-07","2018-03-26",FALSE,TRUE
